time,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,trueAirspeed_m_s
0.0,0.0,0.0,0.0,9144.0,0.0,0.0,9.786072474552002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.23005392984,0.459177273275918,30157.60192315531,228.79958955555557,0.0,0.0,0.0,0.0,0.0,0.0,1.01e-08,3.04550848e-06
0.1,0.0,6.4008e-06,0.9752108189928,9143.951238096,3.17649923862968e-14,0.0,9.786072593424,0.0,0.0,-7.292107787879949e-06,0.0,0.0,0.0,-0.9752108191960001,303.23026372368,0.45917985017000806,30157.81869145179,228.7999061666667,0.0,0.0,0.0,0.0,0.0,0.0,0.003216074,0.975209974694144
0.2,0.0,2.703576e-05,1.9504216681608,9143.804958480001,2.7576202181510406e-13,0.0,9.786073014048,0.0,0.0,-1.4584233029052416e-05,0.0,0.0,0.0,-1.9504216678560002,303.23089316616006,0.459188096231096,30158.471399930233,228.800856,0.0,0.0,0.0,0.0,0.0,0.0,0.006432134,1.9504199787115961
0.3,0.0,6.186860880000001e-05,2.92563257646,9143.561155056,9.529497715889038e-13,0.0,9.786073730328,0.0,0.0,-2.1876340816932363e-05,0.0,0.0,0.0,-2.9256325764600004,303.23193966648,0.45920149608036404,30159.557151834968,228.8024352777778,0.0,0.0,0.0,0.0,0.0,0.0,0.009648168,2.92563004343344
0.4,0.0,0.0001109371416,3.900843573456,9143.219830872,2.286381320112572e-12,0.0,9.78607474836,0.0,0.0,-2.916846605810483e-05,0.0,0.0,0.0,-3.9008435744720003,303.23340581544,0.459220049717812,30161.076473848843,228.80464783333335,0.0,0.0,0.0,0.0,0.0,0.0,0.012864162,3.9008401971540962
0.5,0.0,0.00017422794720000002,4.876054690848,9142.780985928,4.50294947014537e-12,0.0,9.786076065096001,0.0,0.0,-3.646057384598479e-05,0.0,0.0,0.0,-4.876054691356001,303.2352915216,0.45924427252225797,30163.03177434889,228.80749361111114,0.0,0.0,0.0,0.0,0.0,0.0,0.016080103,4.876050471254648
0.6,0.0,0.00025174194,5.851265957592001,9142.244620224,7.819075048934597e-12,0.0,9.786077683584,0.0,0.0,-4.3752699087157254e-05,0.0,0.0,0.0,-5.85126595556,303.23759434656,0.459273649114884,30165.422579320537,228.8109687777778,0.0,0.0,0.0,0.0,0.0,0.0,0.019295978,5.851260894543961
0.7,0.0,0.0003434782056,6.82647740112,9141.61073376,1.2461650859239513e-11,0.0,9.786079597728001,0.0,0.0,-5.104482432832972e-05,0.0,0.0,0.0,-6.82647740112,303.24031672872,0.45930817949568997,30168.244632208764,228.81507722222224,0.0,0.0,0.0,0.0,0.0,0.0,0.022511774,6.82647149891756
0.8,0.0,0.0004494373536,7.801689054960001,9140.879323488,1.8675022996339328e-11,0.0,9.786081813624001,0.0,0.0,-5.833693211620966e-05,0.0,0.0,0.0,-7.801689054960001,303.24345869856,0.459348379043494,30171.502764131706,228.8198188888889,0.0,0.0,0.0,0.0,0.0,0.0,0.025727477,7.80168230906876
0.9,0.0,0.000569619384,8.776900946544,9140.050395504,2.652900463031381e-11,0.0,9.786084328224002,0.0,0.0,-6.562905735738214e-05,0.0,0.0,0.0,-8.776900947560001,303.2470202256,0.459393732379478,30175.197018181596,228.82519377777777,0.0,0.0,0.0,0.0,0.0,0.0,0.028943074,8.77689336100864
1.0,0.0,0.0007040239920000001,9.752113103304001,9139.123943712,3.647738136668149e-11,0.0,9.786087141528,0.0,0.0,-7.29211825985546e-05,0.0,0.0,0.0,-9.752113104320001,303.25099874952,0.45944475488246,30179.322141894016,228.83119811111112,0.0,0.0,0.0,0.0,0.0,0.0,0.032158552,9.752104685603841
1.1,0.0,0.0008526514824,10.727325561816,9138.099974208,4.86946861306418e-11,0.0,9.786090253535999,0.0,0.0,-8.021330783972707e-05,0.0,0.0,0.0,-10.7273255608,303.25539683064005,0.459500931173622,30183.885891870927,228.83783566666668,0.0,0.0,0.0,0.0,0.0,0.0,0.035373898,10.72731630343212
