time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa
0.0,6387281.000012401,0.0,0.0,0.0,465.76787589444,0.0,0.0,0.0,-0.0,9144.0,0.0,0.0,9.78607215813912,0.0,0.0,0.0,0.0,0.0,0.0,303.2301256063032,0.4590404150549219,30148.940285576737,228.79937393444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951061521,46.5767874702672,0.0,-0.9786072207912961,465.767872325232,0.0,0.0,7.111349181337201e-06,0.975210787860528,9143.9512394676,3.711203253905445e-14,0.0,9.786072307781787,0.0,0.0,-7.292115037104997e-06,0.0,0.0,0.0,303.2303350273728,0.45904311353924415,30149.159161179174,228.79968996833335,0.0,0.0,0.0,0.0,0.0,0.0,0.00321607265249,0.21828328197657984
0.2,6387280.80426984,93.1535742269976,0.0,-1.957214471465184,465.767861620656,0.0,0.0,2.8445397387496322e-05,1.950421605496968,9143.80495783992,2.968962584201495e-13,0.0,9.786072756740268,0.0,0.0,-1.4584230296896551e-05,0.0,0.0,0.0,303.2309632902768,0.45905120906591007,30149.81579579097,228.80063806944446,0.0,0.0,0.0,0.0,0.0,0.0,0.00643213207695,0.8731485529818243
0.3,6387280.55963736,139.7303595566544,0.0,-2.935821781892064,465.76784378071204,0.0,0.0,6.40021461892032e-05,2.9256324826852325,9143.561155147441,1.00202491545457e-12,0.0,9.786073505014564,0.0,0.0,-2.187634600195651e-05,0.0,0.0,0.0,303.232010392272,0.4590647018539557,30150.910212634055,228.8022182377778,0.0,0.0,0.0,0.0,0.0,0.0,0.00964816504564,1.9646420892836431
0.4,6387280.217103121,186.30714274539602,0.0,-3.91442918196672,465.76781880540005,0.0,0.0,0.00011378159848135681,3.9008434491890402,9143.219831329201,2.3751703133548827e-12,0.0,9.786074552604672,0.0,0.0,-2.9168462375111048e-05,0.0,0.0,0.0,303.2334763287864,0.4590835922698153,30152.442450443552,228.80443047388889,0.0,0.0,0.0,0.0,0.0,0.0,0.0128641583313,3.492841021504844
0.5,6387279.776728081,232.88392307968562,0.0,-4.89303670154736,465.767786691672,0.0,0.0,0.00017778375799793998,4.87605453482088,9142.780986446161,4.639004889588963e-12,0.0,9.786075899510598,0.0,0.0,-3.646057963908163e-05,0.0,0.0,0.0,303.2353610946384,0.45910788082474485,30154.412563467795,228.8072747777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0160800987077,5.457853339830106
0.6,6387279.23851224,279.4606998459864,0.0,-5.87164437051048,465.767747442576,0.0,0.0,0.00025600862931278163,5.851265769317041,9142.244620437361,8.016201185641073e-12,0.0,9.786077545732338,0.0,0.0,-4.375269801622322e-05,0.0,0.0,0.0,303.2376646819032,0.4591375681773982,30156.820621372564,228.81075115000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0192959729493,7.859817901381941
0.7,6387278.60242512,326.037472330152,0.0,-6.850252218787441,465.76770105811204,0.0,0.0,0.00034845621874072803,6.826477182456481,9141.61073327232,1.2729431973928716e-11,0.0,9.786079491239416,0.0,0.0,-5.104481772941435e-05,0.0,0.0,0.0,303.24038708113204,0.45917265513279726,30159.666709480476,228.81485959111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0225117678323,10.69890443966746
0.8,6387277.86846672,372.61423981956,0.0,-7.82886027618768,465.76764753828,0.0,0.0,0.000455126532806328,7.801688804018161,9140.87932498152,1.9001370212293175e-11,0.0,9.78608173609279,0.0,0.0,-5.8336939001359034e-05,0.0,0.0,0.0,303.24352828135204,0.45921314264130053,30162.950928483722,228.81960010111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0257274701344,13.975313575988249
0.9,6387277.03663704,419.191001600064,0.0,-8.80746857261208,465.767586880032,0.0,0.0,0.000576019580474664,8.77690066381152,9140.050395504,2.70546892066642e-11,0.0,9.786084280231503,0.0,0.0,-6.562906205476129e-05,0.0,0.0,0.0,303.2470882703712,0.4592590318011802,30166.67339463556,228.82497268055556,0.0,0.0,0.0,0.0,0.0,0.0,0.0289430666351,17.689276833277752
