time,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,trueAirspeed_m_s
0.0,0.0,0.0,0.0,9144.0,0.0,0.0,9.786072474552002,0.0,0.0,0.0,0.1745329249997492,0.34906584999949847,0.5235987759992478,0.0,303.23005392984,0.459177273275918,30157.60192315531,228.79958955555557,0.0,0.0,0.0,0.0,0.0,0.0,1.01e-08,3.04550848e-06
0.1,0.0,6.4008e-06,0.9752108189928,9143.951238096,3.17649923862968e-14,0.0,9.786072593424,0.05243459037526549,0.03491076335811586,0.01770935432981273,0.16489661299976305,0.35642802499948784,0.5199420829992529,-0.9752108191960001,303.23026372368,0.45917985017000806,30157.81869145179,228.7999061666667,0.0,0.0,0.0,-3.5658012041115813e-06,-3.0505903837456498e-05,-1.1171939894250737e-05,0.003216074,0.975209974694144
0.2,0.0,2.703576e-05,1.9504216681608,9143.804958480001,2.7576202181510406e-13,0.0,9.786073014048,0.10519736129296878,0.06957466636944527,0.03627353877828746,0.1549956449997773,0.36288929399947856,0.5162995859992582,-1.9504216678560002,303.23089316616006,0.459188096231096,30158.471399930233,228.800856,0.0,0.0,0.0,-7.077369690289907e-06,-6.57571704940729e-05,-2.3455650506133218e-05,0.006432134,1.9504199787115961
0.3,0.0,6.186860880000001e-05,2.92563257646,9143.561155056,9.529497715889038e-13,0.0,9.786073730328,0.15839153594075583,0.1038524137304279,0.055689796807310184,0.14487660499979185,0.36843675699947065,0.5126946559992633,-2.9256325764600004,303.23193966648,0.45920149608036404,30159.557151834968,228.8024352777778,0.0,0.0,0.0,-1.0100843715068928e-05,-0.00010182192791968812,-3.5522430246282676e-05,0.009648168,2.92563004343344
0.4,0.0,0.0001109371416,3.900843573456,9143.219830872,2.286381320112572e-12,0.0,9.78607474836,0.21211266961164343,0.1376070475173443,0.07595069298265483,0.1345844609998066,0.373058661999464,0.5091483039992685,-3.9008435744720003,303.23340581544,0.459220049717812,30161.076473848843,228.80464783333335,0.0,0.0,0.0,-1.2622665098965333e-05,-0.00013869882029635388,-4.7453628191598994e-05,0.012864162,3.9008401971540962
0.5,0.0,0.00017422794720000002,4.876054690848,9142.780985928,4.50294947014537e-12,0.0,9.786076065096001,0.2664502696313646,0.17069980230859502,0.09705193698831405,0.1241638409998216,0.3767486219994587,0.5056790319992734,-4.876054691356001,303.2352915216,0.45924427252225797,30163.03177434889,228.80749361111114,0.0,0.0,0.0,-1.4642833841979118e-05,-0.0001760421140472456,-5.911366254724904e-05,0.016080103,4.876050471254648
0.6,0.0,0.00025174194,5.851265957592001,9142.244620224,7.819075048934597e-12,0.0,9.786077683584,0.321486277812037,0.20299053505929546,0.11899072671562702,0.11365877799983669,0.37950545799945473,0.5023026649992783,-5.85126595556,303.23759434656,0.459273649114884,30165.422579320537,228.8109687777778,0.0,0.0,0.0,-1.6134233585143657e-05,-0.00021358606885449043,-7.077369690289907e-05,0.019295978,5.851260894543961
0.7,0.0,0.0003434782056,6.82647740112,9141.61073376,1.2461650859239513e-11,0.0,9.786079597728001,0.37729334261111025,0.23433829688859212,0.1417637992715572,0.10311247399985185,0.3813329979994521,0.49903223799928303,-6.82647740112,303.24031672872,0.45930817949568997,30168.244632208764,228.81507722222224,0.0,0.0,0.0,-1.721888794380878e-05,-0.00025107172348995697,-8.216256766888284e-05,0.022511774,6.82647149891756
0.8,0.0,0.0004494373536,7.801689054960001,9140.879323488,1.8675022996339328e-11,0.0,9.786081813624001,0.43393288111776457,0.2646020689279284,0.16536521032647158,0.092567104999867,0.38223986299945084,0.4958779369992875,-7.801689054960001,303.24345869856,0.459348379043494,30171.502764131706,228.8198188888889,0.0,0.0,0.0,-1.7625633328308198e-05,-0.000288236049271669,-9.355143843486659e-05,0.025727477,7.80168230906876
0.9,0.0,0.000569619384,8.776900946544,9140.050395504,2.652900463031381e-11,0.0,9.786084328224002,0.4914529528928157,0.29364167959628656,0.18978388046046546,0.08206363699988209,0.38223923799945075,0.49284707699929187,-8.776900947560001,303.2470202256,0.459393732379478,30175.197018181596,228.82519377777777,0.0,0.0,0.0,-1.7625633328308198e-05,-0.00032482957569713347,-0.00010480472740601721,0.028943074,8.77689336100864
