time,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,trueAirspeed_m_s
0.0,0.0,0.0,0.0,9144.0,0.0,0.0,9.786072474552002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.23005392984,0.459177273275918,30157.60192315531,228.79958955555557,0.0,0.0,0.0,0.0,0.0,0.0,1.01e-08,3.04550848e-06
0.1,-8.10768e-13,6.4008e-06,0.9752099308056,9143.951238096,3.17649923862968e-14,-3.665191429188092e-22,9.786072593424,-2.076941809873252e-28,-2.6703537555513243e-22,-7.292107787879949e-06,0.0,0.0,0.0,-0.975209930704,303.23026372368,0.45917985017000806,30157.81869145179,228.7999061666667,-1.120951847045646e-09,2.353109234472804e-10,-0.0003224960671063862,0.0,0.0,0.0,0.003216071,0.9752090862493561
0.2,-1.664208e-12,2.703576e-05,1.9504144343424001,9143.804958480001,2.7576202181510406e-13,-7.0162235930172045e-22,9.786073014048,-4.50294947014537e-28,-6.003932626860493e-22,-1.4584233029052416e-05,0.0,0.0,0.0,-1.950414434444,303.23089316616006,0.459188096231096,30158.471399930233,228.800856,-2.366453899318586e-09,1.049780301201478e-09,-0.0014378742924681107,0.0,0.0,0.0,0.00643211,1.950412745114512
0.3,-2.5176480000000003e-12,6.18679992e-05,2.9256080799888005,9143.561158104,9.529497715889038e-13,-1.0349802464326373e-21,9.786073730328,-6.946410422937432e-28,-9.354964790689606e-22,-2.1876340816932363e-05,0.0,0.0,0.0,-2.925608080192,303.23193966648,0.45920149608036404,30159.557151834968,228.8024352777778,-3.6119559515915256e-09,2.442073666778014e-09,-0.0033497911142529174,0.0,0.0,0.0,0.009648087,2.9256055466390483
0.4,-3.3832800000000005e-12,0.000110935008,3.9007854389520005,9143.219836968,2.286381320112572e-12,-1.3683381335635544e-21,9.78607474836,-9.37241808320955e-28,-1.2688543661998774e-21,-2.916846605810483e-05,0.0,0.0,0.0,-3.9007854389520005,303.23340581544,0.459220049717812,30161.076473848843,228.80464783333335,-4.8485615606339446e-09,4.417084063953676e-09,-0.006058464495319955,0.0,0.0,0.0,0.01286397,3.900782061895432
0.5,-4.2367200000000006e-12,0.0001742230704,4.875941079696,9142.781001168001,4.50294947014537e-12,-1.7034413499464656e-21,9.786076065096001,-1.1815879036001612e-27,-1.6022122533307946e-21,-3.646057384598479e-05,0.0,0.0,0.0,-4.875941080204,303.2352915216,0.45924427252225797,30163.03177434889,228.80749361111114,-6.094063612906885e-09,6.983707935958984e-09,-0.00956402788231768,0.0,0.0,0.0,0.016079728,4.875936859898356
0.6,-5.090160000000001e-12,0.00025173127200000004,5.851069571904,9142.244650704,7.819075048934597e-12,-2.042035224833366e-21,9.786077683584,-1.4241886696273729e-27,-1.9373154697137058e-21,-4.3752699087157254e-05,0.0,0.0,0.0,-5.85106957292,303.23759434656,0.459273649114884,30165.42018530759,228.8109687777778,-7.339565665179825e-09,1.0097463066641333e-08,-0.013866641411224243,0.0,0.0,0.0,0.01929533,5.8510645106914
0.7,-5.943600000000001e-12,0.00034345869840000004,6.826165484040001,9141.610788624,1.2461650859239513e-11,-2.373647782712288e-21,9.786079597728001,-1.668534764906579e-27,-2.2689280275926286e-21,-5.104482432832972e-05,0.0,0.0,0.0,-6.826165484040001,303.24031672872,0.45930817949568997,30168.244632208764,228.81507722222224,-8.585067717452765e-09,1.3833969223460153e-08,-0.018966509700233943,0.0,0.0,0.0,0.022510745,6.82615958123148
0.8,-6.797040000000001e-12,0.0004494041304000001,7.801223378472001,9140.879417976,1.8675022996339328e-11,-2.7052603405912108e-21,9.786081813624001,-1.9198621771937623e-27,-2.600540585471551e-21,-5.833693211620966e-05,0.0,0.0,0.0,-7.801223381520001,303.24345869856,0.459348379043494,30171.502764131706,228.8198188888889,-9.830569769725705e-09,1.8148744190262837e-08,-0.02486388184975724,0.0,0.0,0.0,0.025725941,7.80121663435996
0.9,-7.65048e-12,0.000569566044,8.776237823664,9140.050544856,2.652900463031381e-11,-3.0368728984701332e-21,9.786084328224002,-2.1467549799530254e-27,-2.9321531433504735e-21,-6.562905735738214e-05,0.0,0.0,0.0,-8.77623782468,303.24701769576,0.459393732379478,30175.194116637897,228.82518994444447,-1.1076071821998644e-08,2.3041787967049387e-08,-0.03155902920131266,0.0,0.0,0.0,0.028940888,8.77623024269264
1.0,-8.50392e-12,0.0007039426104,9.751203378936,9139.124172312,3.647738136668149e-11,-3.368485456349056e-21,9.786087141528,-2.3911010752322316e-27,-3.2637657012293963e-21,-7.29211825985546e-05,0.0,0.0,0.0,-9.75120337792,303.25099874952,0.45944475488246,30179.322141894016,228.83119811111112,-1.2321573874271585e-08,2.8557582769972407e-08,-0.03905227202685651,0.0,0.0,0.0,0.032155552,9.751194958267561
1.1,-9.357360000000002e-12,0.000852531696,10.726114606656001,9138.10030644,4.86946861306418e-11,-3.7000980142279785e-21,9.786090253535999,-2.635447170511438e-27,-3.612831551628262e-21,-8.021330783972707e-05,0.0,0.0,0.0,-10.726114605640001,303.25539430080005,0.459500415794804,30183.88299032723,228.83783188888887,-1.3567075926544525e-08,3.460716416672668e-08,-0.04734397508056122,0.0,0.0,0.0,0.035369905,10.72610534855608
1.2,-1.0210800000000001e-11,0.0010153320816,11.700966057,9136.978950288,6.335545184739416e-11,-4.031710572106901e-21,9.786093664248,-2.8797932657906437e-27,-3.9444441095071844e-21,-8.750543308089955e-05,0.0,0.0,0.0,-11.700966057,303.26021190864003,0.459562261252964,30188.87823241005,228.84510266666666,-1.4812577978817462e-08,4.132397880577005e-08,-0.056434520909485725,0.0,0.0,0.0,0.038583915,11.70095596559624
1.3,-1.106424e-11,0.0011923407192,12.675752292336,9135.760116048,8.063421144213803e-11,-4.3807764225057674e-21,9.786097376712,-3.12413936106985e-27,-4.276056667386107e-21,-9.479757577536453e-05,0.0,0.0,0.0,-12.675752291320002,303.26544648288,0.459628745120486,30194.309328490355,228.85300294444446,-1.6058080031090404e-08,4.8485615606339444e-08,-0.0663243409911267,0.0,0.0,0.0,0.041797549,12.67574137171496
1.4,-1.1917680000000001e-11,0.0013835554752,13.650467859792,9134.44380372,1.0070549784007282e-10,-4.71238898038469e-21,9.786101384832,-3.368485456349056e-27,-4.60766922526503e-21,-0.00010208970101653699,0.0,0.0,0.0,-13.65046785776,303.27109796256,0.45970089815500603,30200.17394679955,228.86153261111113,-1.730358208336334e-08,5.6492414513808346e-08,-0.07701390683697536,0.0,0.0,0.0,0.045010778,13.65045610351696
1.5,-1.277112e-11,0.0015889733016000002,14.625107306496002,9133.030022448,1.239183768915974e-10,-5.044001538263612e-21,9.786105694704002,-3.612831551628263e-27,-4.939281783143953e-21,-0.000109381843711002,0.0,0.0,0.0,-14.62510730548,303.27717146832003,0.459778720356524,30206.4755778085,228.87069933333336,-1.8549084135636286e-08,6.494403558280329e-08,-0.08850372554429585,0.0,0.0,0.0,0.048223568,14.625094723329159
1.6,-1.362456e-11,0.0018085920648000001,15.599665176528001,9131.518784424,1.5062191444711064e-10,-5.375614096142535e-21,9.78611030328,-3.8571776469074685e-27,-5.270894341022876e-21,-0.00011667398640546698,0.0,0.0,0.0,-15.59966517856,303.28366184904,0.459861180967404,30213.208499826265,228.88049544444445,-1.983906840406183e-08,7.428530097485035e-08,-0.1007943353479036,0.0,0.0,0.0,0.051435891,15.599651767756281
1.7,-1.4478e-11,0.0020424081072,16.57413601092,9129.910092696002,1.8151424220741027e-10,-5.707226654021458e-21,9.78611521056,-4.1015237421866744e-27,-5.602506898901798e-21,-0.00012396612909993196,0.0,0.0,0.0,-16.57413601092,303.29056907424,0.45994931074528206,30220.377596639264,228.890921,-2.1084570456334767e-08,8.407138852842344e-08,-0.11388631896483023,0.0,0.0,0.0,0.054647714,16.574121783691922
1.8,-1.533144e-11,0.0022904183808000003,17.548514347656003,9128.203959456001,2.1467549799530252e-10,-6.03883921190038e-21,9.786120416544,-4.34586983746588e-27,-5.934119456780721e-21,-0.00013125828924768948,0.0,0.0,0.0,-17.54851434664,303.29789570424003,0.460043109690158,30227.983471538755,228.90197983333334,-2.2330072508607708e-08,9.43022982435226e-08,-0.12778030359432346,0.0,0.0,0.0,0.057859005,17.54849929745192
1.9,-1.6184880000000002e-11,0.002552619228,18.522794715576,9126.400393848,2.530727415391778e-10,-6.370451769779303e-21,9.786125924280002,-4.590215932745087e-27,-6.283185307179587e-21,-0.00013855043194215444,0.0,0.0,0.0,-18.52279471456,303.3056416476,0.46014206242321404,30236.021427471336,228.9136718888889,-2.357557456088065e-08,1.0542285228167384e-07,-0.14247692978029594,0.0,0.0,0.0,0.061069734,18.52277885078544
2.0,-1.7038320000000003e-11,0.0028290069912000003,19.496971643520002,9124.499405016,2.949606435870417e-10,-6.719517620178169e-21,9.786131727672,-4.8345620280242926e-27,-6.6147978650585095e-21,-0.000145842592089912,0.0,0.0,0.0,-19.496971643520002,303.31380437448,0.46024616894445003,30244.495869420825,228.92599333333334,-2.482107661315359e-08,1.174330506428772e-07,-0.15797689589354122,0.0,0.0,0.0,0.06427987,19.496954964863882
2.1,-1.7922240000000002e-11,0.0031195783176,20.471039654232,9122.501002104002,3.4033920413889424e-10,-7.051130178057091e-21,9.786137829768,-5.078908123303499e-27,-6.946410422937432e-21,-0.00015313475223766948,0.0,0.0,0.0,-20.4710396522,303.32238638424,0.460355429253866,30253.40501145357,228.93894805555556,-2.6066578665426528e-08,1.2988807116560659e-07,-0.17428094033884747,0.0,0.0,0.0,0.06748938,20.47102216085864
2.2,-1.877568e-11,0.0034243286352,21.444993261312,9120.405200352001,3.9269908169872415e-10,-7.382742735936014e-21,9.786144233616,-5.323254218582705e-27,-7.278022980816354e-21,-0.00016042691238542697,0.0,0.0,0.0,-21.44499325928,303.33138508608,0.46047035873028,30262.74846573947,228.95253222222223,-2.7312080717699466e-08,1.4278791384986206e-07,-0.1913898059692244,0.0,0.0,0.0,0.070698235,21.44497495994112
2.3,-1.9629120000000004e-11,0.0037432536768000004,22.418826978360002,9118.212008904,4.4854961776254265e-10,-7.714355293814937e-21,9.786150936168001,-5.5676003138619116e-27,-7.609635538695277e-21,-0.00016771908998647702,0.0,0.0,0.0,-22.418826978360002,303.34080300984004,0.46059044199487403,30272.529267886952,228.96674955555557,-2.8602064986125013e-08,1.5702222301869563e-07,-0.20930432015389247,0.0,0.0,0.0,0.073906402,22.418807872993842
2.4,-2.048256e-11,0.004076348870400001,23.39253531288,9115.921439952,5.096361415823443e-10,-8.04596785169386e-21,9.786157934376002,-5.811946409141117e-27,-7.941248096574199e-21,-0.00017501126758752704,0.0,0.0,0.0,-23.392535312880003,303.35063756472005,0.46071619442646605,30282.744640840978,228.9815963888889,-2.984756703839795e-08,1.7170135434905529e-07,-0.22802530581385047,0.0,0.0,0.0,0.07711385,23.39251540575488
2.5,-2.1336000000000002e-11,0.0044236102536,24.366112760184,9113.533505688001,5.759586531581287e-10,-8.377580409572782e-21,9.786165234336,-6.056292504420323e-27,-8.272860654453123e-21,-0.00018230344518857706,0.0,0.0,0.0,-24.366112761200004,303.36089121960003,0.460847100646238,30293.39282739606,228.99707638888887,-3.109306909067089e-08,1.86825307840941e-07,-0.24755364814519992,0.0,0.0,0.0,0.080320548,24.36609205881788
2.6,-2.221992e-11,0.0047850320352,25.339553818632,9111.048221352,6.475171524898963e-10,-8.709192967451705e-21,9.786172833000002,-6.300638599699529e-27,-8.621926504851989e-21,-0.00018959562278962708,0.0,0.0,0.0,-25.339553821680003,303.37156144464,0.46098316065419,30304.478261264172,229.0131858888889,-3.233857114294383e-08,2.0328372781740482e-07,-0.2678902723780367,0.0,0.0,0.0,0.083526466,25.3395323224876
2.7,-2.307336e-11,0.0051606096432,26.312852977440002,9108.465599136001,7.260569688296411e-10,-9.040805525330626e-21,9.786180730368,-6.544984694978736e-27,-8.95353906273091e-21,-0.00019688781784396963,0.0,0.0,0.0,-26.312852977440002,303.3826481484,0.46112488982914007,30315.998692073143,229.02992477777778,-3.3584073195216774e-08,2.2018696995539472e-07,-0.289036090397792,0.0,0.0,0.0,0.08673157,26.31283069221324
2.8,-2.3926800000000003e-11,0.0055503378960000006,27.286004710584002,9105.785657328,8.098327729253689e-10,-9.389871375729494e-21,9.786188926440001,-6.789330790257942e-27,-9.285151620609835e-21,-0.00020418001289831218,0.0,0.0,0.0,-27.2860047116,303.39415386072,0.46127177279227,30327.95718415955,229.0472968888889,-3.487405746364232e-08,2.384246785779628e-07,-0.3109921297436589,0.0,0.0,0.0,0.089935831,27.28598164286624
2.9,-2.4780240000000003e-11,0.0059542110024,28.259003498136003,9103.008405072,9.00589894029074e-10,-9.721483933608415e-21,9.786197418168,-7.016223593017205e-27,-9.616764178488756e-21,-0.00021147222540594725,0.0,0.0,0.0,-28.259003497120002,303.4060759908,0.46142380954358,30340.348585607517,229.06529844444447,-3.611955951591525e-08,2.5710720936205687e-07,-0.33375936457617117,0.0,0.0,0.0,0.093139216,28.25897964931804
3.0,-2.5664160000000002e-11,0.0063722234760000005,29.23184380188,9100.133860656,9.965830028887622e-10,-1.0053096491487338e-20,9.786206211648,-7.260569688296412e-27,-9.948376736367677e-21,-0.00021876443791358233,0.0,0.0,0.0,-29.23184380188,303.41841700752,0.461581515461888,30353.175965541657,229.0839332777778,-3.73650615681882e-08,2.766793844692031e-07,-0.3573389069507326,0.0,0.0,0.0,0.096341695,29.23181918129564
