time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.0,6387280.999951441,0.0,0.0,0.0,1.2343803179105759e-05,0.0,9144.0,0.0,0.0,9.78607229417136,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,303.2314967110032,0.45935725912772696,30180.52669774471,228.79957777777778,2.515301528396929e-17,0.015569340982434019,-0.0,0.0,0.0,0.0,0.0201034525309,8.535137170277684,6.095994723024886
0.1,6387280.95136632,6.8156518190628e-06,0.0,0.0,0.0001265311800310632,0.9752026942196161,9143.95140226128,1.0670662322456107e-12,0.0,9.786072434348881,0.0,0.0,-7.292116213759523e-06,0.0,0.0,0.0,-0.975202694219616,303.23170665480484,0.45935986188558753,30180.735679370435,228.79989271833335,2.547251585640934e-17,0.015766830118087792,-0.0025222152909704695,0.0,0.0,0.0,0.020358682708,8.75329605580069,6.173392758776609
0.2,6387280.80506232,2.5871440531407123e-05,0.0,0.0,0.0002575651705931904,1.950387655626336,9143.805122584321,4.0504623674595535e-12,0.0,9.78607287332184,0.0,0.0,-1.4584234343879044e-05,0.0,0.0,0.0,-1.950387655626336,303.2323385878056,0.4593676962110532,30181.364716040356,228.80084069166668,2.6408686674963714e-17,0.01634600153562455,-0.005229776921857314,0.0,0.0,0.0,0.0211065049883,9.40836453339013,6.400169326695158
0.3,6387280.561283281,5.8976902975396806e-05,0.0,0.0,0.00040792341948909605,2.92555307472924,9143.56132534776,9.233491845157713e-12,0.0,9.786073611608401,0.0,0.0,-2.1876354673567298e-05,0.0,0.0,0.0,-2.9255530747292404,303.2333917995168,0.45938075330042305,30182.413100898215,228.80242063333336,2.789959358226295e-17,0.01726849261004777,-0.008287456832772233,0.0,0.0,0.0,0.0222973650962,10.50035392768486,6.761299793389347
0.4,6387280.219968241,0.00010817693782938482,0.0,0.0,0.0005797961245568161,3.9006961364839206,9143.2200126852,1.6936306863639647e-11,0.0,9.78607464917808,0.0,0.0,-2.91684775230575e-05,0.0,0.0,0.0,-3.90069613648392,303.2348662810992,0.45939903304134433,30183.88082489464,228.80463252888887,2.986240283186779e-17,0.018483005926179057,-0.01182720953730343,0.0,0.0,0.0,0.0238649772582,12.02930127823078,7.2366869232512565
0.5,6387279.78114768,0.00017571743112648722,0.0,0.0,0.000775010359924872,4.87581323410968,9142.781186974082,2.7510526726145655e-11,0.0,9.78607598606136,0.0,0.0,-3.6460603243945925e-05,0.0,0.0,0.0,-4.875813234109681,303.23676202188483,0.4594225353049725,30185.7678776875,228.80747636333336,3.2211152272835564e-17,0.01993630939518336,-0.015946623632895042,0.0,0.0,0.0,0.0257405370427,13.995267610093778,7.805470348733042
0.6,6387279.24479112,0.0002640091319742792,0.0,0.0,0.00099504217225356,5.85090018988056,9142.244851049041,4.133358224298634e-11,0.0,9.786077622197281,0.0,0.0,-4.375273221373684e-05,0.0,0.0,0.0,-5.85090018988056,303.2390790102912,0.4594512599408168,30188.074247210963,228.81095211833335,3.486816829370208e-17,0.021580302749914255,-0.02071415611061603,0.0,0.0,0.0,0.0278618535532,16.39833671320038,8.448795497321763
0.7,6387278.61095952,0.000375594699656952,0.0,0.0,0.0012410630017908,6.82595243152224,9141.61100808,5.880355665255785e-11,0.0,9.78607955761632,0.0,0.0,-5.1044864830426376e-05,0.0,0.0,0.0,-6.825952431522241,303.2418172319928,0.45948520677622545,30190.79991957976,228.81505977277777,3.7768711663503815e-17,0.023374892761269188,-0.026176456176078066,0.0,0.0,0.0,0.0301770674734,19.238614276806327,9.150940857848733
0.8,6387277.8796224,0.000513121053346392,0.0,0.0,0.001513996124272968,7.80096511926792,9140.87966184648,8.033485672882824e-11,0.0,9.786081792288002,0.0,0.0,-5.833700150841506e-05,0.0,0.0,0.0,-7.80096511926792,303.24497667114,0.4595243756117468,30193.94487884976,228.8197993027778,4.086124538055279e-17,0.02528815863841549,-0.03236498109971929,0.0,0.0,0.0,0.0326448680463,22.516227292956433,9.899383679721192
0.9,6387277.050779761,0.000679317263203752,0.0,0.0,0.0018145695817949042,8.7759332330616,9140.05081652424,1.063547514540514e-10,0.0,9.786084326181841,0.0,0.0,-6.562914267500486e-05,0.0,0.0,0.0,-8.7759332330616,303.24855730914004,0.4595687662226757,30197.50910682647,228.82517068055557,4.410571487790945e-17,0.02729528723756498,-0.0393009998397674,0.0,0.0,0.0,0.0352331201411,26.231323647347757,10.684383603349595
1.0,6387276.124431601,0.0008769773197263841,0.0,0.0,0.002143360432210872,9.750851630287201,9139.12447683768,1.3730067444101687e-10,0.0,9.786087159328321,0.0,0.0,-7.292128876759449e-05,0.0,0.0,0.0,-9.750851630287201,303.2525591261808,0.45961837835596103,30201.492583352294,228.8311738766667,4.747130714220124e-17,0.02937718583233046,-0.04699905893874382,0.0,0.0,0.0,0.0379170740892,30.384071836309396,11.498439798518252
1.1,6387275.1006084,0.00110894685590424,0.0,0.0,0.002500829660124936,10.72571508399048,9138.100647998881,1.7361814520856061e-10,0.0,9.78609029169696,0.0,0.0,-8.021344023168447e-05,0.0,0.0,0.0,-10.725715083990481,303.2569820994024,0.4596732117317523,30205.895285875635,228.8378088561111,5.093436113402886e-17,0.031519188608778816,-0.05546928189315462,0.0,0.0,0.0,0.0406776960359,34.97466076560965,12.335784660124094
1.2,6387273.97927968,0.001378112939763528,0.0,0.0,0.00288734893839192,11.700518307933601,9136.97933579904,2.1575917116333793e-10,0.0,9.78609372325728,0.0,0.0,-8.75055975194739e-05,0.0,0.0,0.0,-11.700518307933601,303.2618262038112,0.45973326604185283,30210.717189642397,228.84507558222222,5.4476648696613936e-17,0.0337099925316528,-0.06471886731635426,0.0,0.0,0.0,0.0435002941906,40.00329960331997,13.191967237044773
1.3,6387272.760506401,0.001687396203659568,0.0,0.0,0.0033032208796816803,12.67525597329816,9135.760546486561,2.6418101542442403e-10,0.0,9.78609745400928,0.0,0.0,-9.479776108796329e-05,0.0,0.0,0.0,-12.67525597329816,303.26709141228,0.45979854094868955,30215.95826764811,228.85297401388888,5.808404071989437e-17,0.0359408317010161,-0.07475306169357478,0.0,0.0,0.0,0.046373452877,45.47021766696118,14.063529998690912
1.4,6387271.4442276005,0.00203974473809952,0.0,0.0,0.0037486943109885603,13.64992271977992,9134.44428691944,3.193452409059593e-10,0.0,9.786101483892,0.0,0.0,-0.00010208993139885158,0.0,0.0,0.0,-13.649922719779921,303.27277769554803,0.45986903608788965,30221.618490446424,228.86150410722223,6.174550115314286e-17,0.038204854656207224,-0.08557579418345111,0.0,0.0,0.0,0.0492882285599,51.37566433305772,14.947765043544175
1.5,6387270.030504241,0.0024381293171570643,0.0,0.0,0.00422397581706576,14.624513163269762,9133.03056444336,3.817169628821658e-10,0.0,9.78610581293592,0.0,0.0,-0.00010938210891684138,0.0,0.0,0.0,-14.62451316326976,303.27888502161125,0.4599447510641575,30227.697826484247,228.87066581444446,6.545233769714274e-17,0.0404966605679564,-0.09719009499595008,0.0,0.0,0.0,0.0522375509936,57.7199089616304,15.842532507524593
1.6,6387268.51933632,0.002885539632732408,0.0,0.0,0.0047292385127004006,15.59902190106576,9131.51938695264,4.5176425947900536e-10,0.0,9.78611044108008,0.0,0.0,-0.00011667429411083114,0.0,0.0,0.0,-15.599021901065761,303.285413356332,0.46002568545488254,30234.19624176659,228.8804590838889,6.919764564971184e-17,0.0428119549896696,-0.10959837461213405,0.0,0.0,0.0,0.0552157787298,64.50324082811072,16.746125779611116
1.7,6387266.910723841,0.0033849812978928,0.0,0.0,0.00526462875434856,16.573443515347922,9129.910762920721,5.299577025977442e-10,0.0,9.78611536832448,0.0,0.0,-0.00012396648745182062,0.0,0.0,0.0,-16.573443515347922,303.29236266343923,0.46011183880807754,30241.113699952337,228.89088386166665,7.29758944003555e-17,0.04514729390991506,-0.1228026127130329,0.0,0.0,0.0,0.0582183686336,71.72596906277235,17.65717128840764
1.8,6387265.2046668,0.00393947344094592,0.0,0.0,0.005830271320881841,17.54777257573848,9128.204701308721,6.167699813165334e-10,0.0,9.78612059460816,0.0,0.0,-0.00013125868941081135,0.0,0.0,0.0,-17.54777257573848,303.2997329039184,0.4602032106423787,30248.45016245,228.90194008833333,7.678261851106149e-17,0.04749989254192509,-0.1368044878501971,0.0,0.0,0.0,0.0612416289846,79.38842259389722,18.574553634593233
1.9,6387263.4011652,0.00455204675741736,0.0,0.0,0.006426273442647121,18.52200364119168,9126.4012116264,7.126755969674267e-10,0.0,9.786126119931119,0.0,0.0,-0.00013855090046279995,0.0,0.0,0.0,-18.52200364119168,303.3075240369264,0.4602998004470455,30256.205588274075,228.91362770333333,8.061418540570212e-17,0.04986748152953901,-0.15160546770634184,0.0,0.0,0.0,0.0642825338039,87.49095008840405,19.497359288987575
2.0,6387261.50024952,0.005225741919549361,0.0,0.0,0.007052727966022081,19.4961312609996,9124.50030396264,8.181506142087951e-10,0.0,9.78613194426288,0.0,0.0,-0.00014584312108479008,0.0,0.0,0.0,-19.4961312609996,303.3157360182672,0.46040160768402255,30264.37993414082,228.92594664111112,8.446761933566714e-17,0.0522481979904612,-0.1672068727947701,0.0,0.0,0.0,0.0673385821638,96.03391989822242,20.42483393068745
2.1,6387259.501950241,0.00596360826763896,0.0,0.0,0.0077097158559756,20.470149975798,9122.50198895496,9.336724562109395e-10,0.0,9.78613806757296,0.0,0.0,-0.00015313535175277848,0.0,0.0,0.0,-20.470149975798,303.3243688028304,0.4605086317833009,30272.97315432457,228.9388968327778,8.834046691724149e-17,0.054640502287543635,-0.18360992200560353,0.0,0.0,0.0,0.0704076907176,105.01772000283646,21.356349858685594
2.2,6387257.40623688,0.00676870272552912,0.0,0.0,0.008397308196165361,21.444054318054,9120.40627772856,1.059719734938529e-09,0.0,9.78614448983088,0.0,0.0,-0.00016042759294676904,0.0,0.0,0.0,-21.444054318054,303.3334223421528,0.4606208721475564,30281.985200897198,228.95247820555556,9.223069356810966e-17,0.057043113926798734,-0.20081576558534223,0.0,0.0,0.0,0.0734881109295,114.4427579523074,22.291380893176814
2.3,6387255.2131399205,0.00764408889544416,0.0,0.0,0.0091155677960568,22.417838812584243,9118.21318201824,1.1967721095153866e-09,0.0,9.786151210975682,0.0,0.0,-0.0001677198451457587,0.0,0.0,0.0,-22.417838812584243,303.3428965853328,0.4607383281500886,30291.416023440786,228.96669068444444,9.613660308884675e-17,0.05945496178224421,-0.21882550929293235,0.0,0.0,0.0,0.0765783648022,124.30946080933835,23.229482886310052
2.4,6387252.922659361,0.00859283629791,0.0,0.0,0.009864550494308882,23.39149797664632,9115.922714076962,1.3453101672907725e-09,0.0,9.78615823097688,0.0,0.0,-0.00017501210883074793,0.0,0.0,0.0,-23.39149797664632,303.35279147964,0.4608609991332739,30301.265569239167,228.9815341888889,1.0005677471168612e-16,0.061875145131705896,-0.23764023229362707,0.0,0.0,0.0,0.0796771945664,134.6182750875089,24.170278465991437
2.5,6387250.534856161,0.009618019729449121,0.0,0.0,0.010644306223074721,24.36502632015216,9113.53488670632,1.5058153233537985e-09,0.0,9.78616554983448,0.0,0.0,-0.00018230438448273725,0.0,0.0,0.0,-24.365026320152158,303.36310696990563,0.46098888441165853,30311.533783277933,228.99700863722225,1.0399001344279753e-16,0.06430290291782709,-0.2572610005445752,0.0,0.0,0.0,0.0827835229917,145.36966669094585,25.11344500123859
