time,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,trueAirspeed_m_s
0.0,1.1186160000000001e-15,-2.862072e-09,0.0,9144.0,0.0,0.0,9.786072474552002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.23005392984,0.459177273275918,30157.60192315531,228.79958955555557,-7.784387826705873e-09,0.015563246513943979,0.0,0.0,0.0,0.0,0.020103548,6.095994720144001
0.1,5.394960000000001e-12,0.00011348039280000001,0.9752023217784,9143.951241144001,8.674286382411818e-13,-4.153883619746505e-21,9.786072593424,-3.0368728984701332e-27,-4.153883619746505e-21,-7.292107787879949e-06,0.0,0.0,0.0,-0.9752023218800001,303.23026372368,0.45917985017000806,30157.81869145179,228.7999061666667,7.873352259011085e-09,0.015723297975882667,-0.002263722221114145,0.0,0.0,0.0,0.020358782,6.17339339097684
0.2,5.57784e-12,0.0002438616408,1.9503867819720002,9143.804961528002,3.647738136668149e-12,-4.1364303272265614e-21,9.786073014048,-3.0368728984701332e-27,-4.153883619746505e-21,-1.4584233029052416e-05,0.0,0.0,0.0,-1.9503867819720002,303.23089316616006,0.459188096231096,30158.471399930233,228.800856,8.140245555926714e-09,0.016265505053231617,-0.004943815778303133,0.0,0.0,0.0,0.021106609,6.400170348123719
0.3,5.8826400000000005e-12,0.0003936357888,2.9255516441352003,9143.5611642,8.604473212332043e-12,-4.101523742186674e-21,9.786073730328,-3.0368728984701332e-27,-4.1364303272265614e-21,-2.1876358270224887e-05,0.0,0.0,0.0,-2.925551643932,303.23193966648,0.45920149608036404,30159.557151834968,228.8024352777778,8.585067717452765e-09,0.01715551857867778,-0.007958784803353778,0.0,0.0,0.0,0.022297476,6.761300920176041
0.4,6.30936e-12,0.0005649818520000001,3.900694066008,9143.21984916,1.6074482410867775e-11,-4.084070449666732e-21,9.78607474836,-3.0368728984701332e-27,-4.1189770347066175e-21,-2.9168483511397355e-05,0.0,0.0,0.0,-3.900694067024,303.23340581544,0.459220049717812,30161.076473848843,228.80464783333335,9.163336527436628e-09,0.018342820099336653,-0.011444046506899454,0.0,0.0,0.0,0.023865095,7.2366878841297595
0.5,6.797040000000001e-12,0.0007597158288,4.875810424128,9142.781025552,2.6354471705114375e-11,-4.066617157146788e-21,9.786076065096001,-3.0368728984701332e-27,-4.101523742186674e-21,-3.6460608752569824e-05,0.0,0.0,0.0,-4.875810424128001,303.2352915216,0.45924427252225797,30163.03177434889,228.80749361111114,9.87505198587831e-09,0.019773995370052182,-0.015500424280071656,0.0,0.0,0.0,0.025740664,7.8054708907512405
0.6,7.34568e-12,0.0009793035024,5.850896524752001,9142.244690328,3.996803987067015e-11,-4.0491638646268446e-21,9.786077683584,-3.0368728984701332e-27,-4.084070449666732e-21,-4.375273399374229e-05,0.0,0.0,0.0,-5.85089652272,303.23759434656,0.459273649114884,30165.42018530759,228.8109687777778,1.0720214092777805e-08,0.021400260744369806,-0.020198942877401246,0.0,0.0,0.0,0.02786199,8.448795402818401
0.7,7.95528e-12,0.0012249073800000001,6.825947786736,9141.610846536001,5.724679946541401e-11,-4.031710572106901e-21,9.786079597728001,-3.0368728984701332e-27,-4.084070449666732e-21,-5.104485923491476e-05,0.0,0.0,0.0,-6.82594778572,303.24031672872,0.45930817949568997,30168.244632208764,228.81507722222224,1.1609858415829903e-08,0.02318071037631559,-0.025588096810937804,0.0,0.0,0.0,0.030177214,9.150939924235761
0.8,8.62584e-12,0.0014974433856000003,7.800959369856,9140.879500272,7.853981633974482e-11,-4.014257279586957e-21,9.786081813624001,-3.0368728984701332e-27,-4.066617157146788e-21,-5.8337001929379746e-05,0.0,0.0,0.0,-7.80095936884,303.24345869856,0.459348379043494,30171.502764131706,228.8198188888889,1.2543984955034609e-08,0.025082649837017367,-0.031700602750661555,0.0,0.0,0.0,0.032645025,9.89938173054432
0.9,9.2964e-12,0.0017976351144000002,8.775926244912,9140.050657632,1.0419615634406148e-10,-3.996803987067015e-21,9.786084325176,-3.0368728984701332e-27,-4.0491638646268446e-21,-6.562914462384474e-05,0.0,0.0,0.0,-8.77592624288,303.24701769576,0.459393732379478,30175.194116637897,228.82518994444447,1.3522593710391919e-08,0.027080630850614233,-0.03855857280622197,0.0,0.0,0.0,0.035233289,10.68438047280352
