time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa
0.0,6387281.000012401,0.0,0.0,0.0,465.76787589444,0.0,0.0,0.0,-0.0,9144.0,0.0,0.0,9.78607215813912,0.0,0.0,0.0,0.0,0.0,0.0,303.2301256063032,0.4590404150549219,30148.940285576737,228.79937393444447,-0.0,0.015558605184930938,-0.0,0.0,0.0,0.0,0.020103543432,8.529250014730591
0.1,6387280.951061521,46.576792812192004,0.0,-0.978598639464288,465.767979386232,0.0,0.0,0.00011417287302783841,0.9752022053630881,9143.95123974192,8.734295059023242e-13,0.0,9.786072307781787,0.0,0.0,-7.292115873431868e-06,0.0,0.0,0.0,303.2303350261536,0.4590431135232674,30149.15915988641,228.79968996611112,-0.0,0.015755961366131974,-0.002520475350305268,0.0,0.0,0.0,0.0203587745907,8.747260103826129
0.2,6387280.80426984,93.1535957288088,0.0,-1.95717950525724,465.76807841880003,0.0,0.0,0.0002452430634960264,1.9503866345615761,9143.8049601564,3.663222867385486e-12,0.0,9.786072756740268,0.0,0.0,-1.45842336632178e-05,0.0,0.0,0.0,303.2309632802184,0.45905120893809614,30149.815785400955,228.80063805444445,-0.0,0.016334742241242844,-0.005226171880087955,0.0,0.0,0.0,0.0211065996228,9.40188154493571
0.3,6387280.55963736,139.7304084307248,0.0,-2.9357407775034003,465.76817548540805,0.0,0.0,0.00039570311055816003,2.9255514674731202,9143.56116307224,8.653782877215039e-12,0.0,9.786073505014564,0.0,0.0,-2.1876353653829015e-05,0.0,0.0,0.0,303.2320103581344,0.45906470141485295,30150.91017701114,228.8022181861111,-0.0,0.017256613146343268,-0.008281751284575109,0.0,0.0,0.0,0.0222974640162,10.493127227425049
0.4,6387280.2171336,186.3072308332056,0.0,-3.91427961666768,465.76827275928,0.0,0.0,0.000567731590789056,3.90069386426088,9143.21985059256,1.6166193744558595e-11,0.0,9.786074552543717,0.0,0.0,-2.9168476166179195e-05,0.0,0.0,0.0,303.2334762461856,0.4590835912034966,30152.442363971804,228.80443034888887,-0.0,0.018470314021352414,-0.011819081689163556,0.0,0.0,0.0,0.0238650818414,12.021036626030025
0.5,6387279.77678904,232.884063050856,0.0,-4.89279239892192,465.76837206312,0.0,0.0,0.000763143735028248,4.87581020064864,9142.78102515576,2.655282029285643e-11,0.0,9.786075899388686,0.0,0.0,-3.6460601552737595e-05,0.0,0.0,0.0,303.23536092821763,0.45910787868128433,30154.412389566693,228.8072745266667,-0.0,0.01992265189522955,-0.015935690626644884,0.0,0.0,0.0,0.0257406484986,13.985674182551795
0.6,6387279.238573201,279.460905362568,0.0,-5.871274935872161,465.768474859968,0.0,0.0,0.0009834049768000321,5.8508962878309605,9142.244689566001,4.019166223498538e-11,0.0,9.786077545518992,0.0,0.0,-4.375273019171705e-05,0.0,0.0,0.0,303.2376643847232,0.4591375643501951,30156.820310916966,228.81075070166668,-0.0,0.021565562339304654,-0.020699995915491643,0.0,0.0,0.0,0.0278619729385,16.38712810190769
0.7,6387278.60251656,326.037758177688,0.0,-6.84972264905664,465.76858231416,0.0,0.0,0.0012296779554595919,6.82594754691936,9141.610847084641,5.7481220384618594e-11,0.0,9.786079490904157,0.0,0.0,-5.104486248122717e-05,0.0,0.0,0.0,303.2403865922328,0.45917264883383735,30159.66619855023,228.81485885333333,-0.0,0.023358982593592214,-0.026158624514869545,0.0,0.0,0.0,0.0301771957228,19.225509504123956
0.8,6387277.86861912,372.614622011328,0.0,-7.828130695965361,465.76869534619203,0.0,0.0,0.001502878975635072,7.800959134824721,9140.87950139976,7.88361967357236e-11,0.0,9.786081735544185,0.0,0.0,-5.833699883613271e-05,0.0,0.0,0.0,303.243527523924,0.4592131328759027,30162.950136352716,228.81959895777777,-0.0,0.025271016793625575,-0.03234302385494985,0.0,0.0,0.0,0.0326450060084,22.500951844074866
0.9,6387277.03691136,419.191497457848,0.0,-8.806494055780322,465.76881467234404,0.0,0.0,0.0018037306955834642,8.775926030241362,9140.05065674808,1.046840600079538e-10,0.0,9.786084279439073,0.0,0.0,-6.562913968403935e-05,0.0,0.0,0.0,303.24708714870724,0.4592590173391352,30166.672221521338,228.8249709877778,-0.0,0.02727687188360745,-0.039274462038522744,0.0,0.0,0.0,0.0352332686132,26.213610519391324
