time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa
0.0,6378137.000012401,0.0,0.0,304.8,769.9010848988399,1.866300083224728e-14,1.866300083224728e-14,304.8,-304.8,0.0,0.0,0.0,9.814197353257681,1.5707963267948966,0.0,0.0,0.0,-7.292107787879948e-05,0.0,340.29396092964004,1.225000214434414,101326.04347656727,288.15,-146.79487988857724,1.8528118692914062e-30,146.79487988857724,0.0,0.0,0.0,1.26670568186,113806.2440076365
0.1,6378167.38086096,76.9400010103176,1.86323198618796e-15,302.81988728286484,768.900784952784,1.860175214452392e-14,1.860175214452392e-14,303.7938316316448,-302.8291625312688,30.38133924855888,4.770911322789236e-06,0.0,9.8141037052995,1.5707963267948966,4.770918534908584e-06,-7.386229340511389e-22,0.0,-7.292107787879948e-05,0.0,340.177334159592,1.2214312623131676,100961.59772672191,287.9525222388889,-145.17247733523118,6.48201315475993e-20,144.710114800775,0.0,0.0,0.0,1.26095342661,112369.3517220954
0.2,6378197.564442961,153.7805238329016,3.72037289072016e-15,300.8539539318336,767.911490414232,1.854117731949144e-14,1.854117731949144e-14,302.7987350385552,-300.8724684527928,60.566303946144004,9.526111871510123e-06,0.0,9.814010663976564,1.5707963267948966,9.526126295748819e-06,-1.4762838923587169e-21,0.0,-7.292107787879948e-05,0.0,340.061422718568,1.2178932955189123,100600.56294354374,287.756322775,-143.57700828780582,1.2821758928698563e-19,142.6609191613663,0.0,0.0,0.0,1.2552502172,110956.97027622761
0.3,6378227.552130001,230.52265985962563,5.571489540158401e-15,298.9019587153848,766.9330189975441,1.8481265205036003e-14,1.8481265205036003e-14,301.8145271791872,-298.9296771045504,90.55629635770799,1.4265774087973976e-05,0.0,9.81391822495517,1.5707963267948966,1.4265795724332022e-05,-2.2129934335224273e-21,0.0,-7.292107787879948e-05,0.0,339.946221930936,1.2143859840545912,100242.89956644761,287.5613924588889,-142.0078791520332,1.9022823694176726e-19,140.64650446969125,0.0,0.0,0.0,1.24959529213,109568.55880648807
0.4,6378257.34529368,307.167482455272,7.416647658237119e-15,296.9636657335584,765.9651924099601,1.842200489392008e-14,1.842200489392008e-14,300.8410290338328,-297.0005531449752,120.3526949383248,1.8990067570885667e-05,0.0,9.813826383932168,1.5707963267948966,1.8990096419432876e-05,-2.9487619420977305e-21,0.0,-7.292107787879948e-05,0.0,339.831727197264,1.2109090036180827,99888.56873868813,287.3677222938889,-140.46451283387873,2.508868756915242e-19,138.66610409744035,0.0,0.0,0.0,1.24398790746,108203.59147272054
0.5,6378286.9453056,383.71604735224804,9.25591188983592e-15,295.0388442710424,765.00783626016,1.83633857171988e-14,1.83633857171988e-14,299.8780654930632,-295.0848664052616,149.9568548845728,2.3699159138413677e-05,0.0,9.813735136726423,1.5707963267948966,2.3699195199010416e-05,-3.683599632322132e-21,0.0,-7.292107787879948e-05,0.0,339.71793400041605,1.2074620354888186,99537.53228820764,287.1753034366667,-138.94634818974077,3.10227281258411e-19,136.71897255647735,0.0,0.0,0.0,1.2384273363,106861.55695924537
0.6,6378316.353506881,460.169393030976,1.108934582464728e-14,293.1272686548312,764.06077994244,1.83053972375448e-14,1.83053972375448e-14,298.925465250744,-293.1823917467184,179.37010861471683,2.839321288854358e-05,0.0,9.813644479217846,1.5707963267948966,2.8393256161189856e-05,-4.417516551933962e-21,0.0,-7.292107787879948e-05,0.0,339.604837905552,1.204044766393784,99189.75271518732,286.9841271916667,-137.45283949889176,3.6828223944800273e-19,134.80438480002366,0.0,0.0,0.0,1.23291286839,105541.95799126884
0.7,6378345.57120816,536.52854109876,1.2917012019945119e-14,291.228718114932,763.1238565361281,1.8248029242908397e-14,1.8248029242908397e-14,297.9830606979648,-291.29290892299923,208.5937662902208,3.307239025777346e-05,0.0,9.813554407286416,1.5707963267948966,3.307244074264381e-05,-5.1505225856578006e-21,0.0,-7.292107787879948e-05,0.0,339.49243454488806,1.2006568883889817,98845.19317385266,286.79418500944445,-135.98345595371188,4.2508358032942977e-19,132.92163554741822,0.0,0.0,0.0,1.22744380963,104244.31087379628
0.8,6378374.599689601,612.794496651888,1.473897202274376e-14,289.3429766526912,762.196902698904,1.8191271740391118e-14,1.8191271740391118e-14,297.0506878248936,-289.4162024472096,237.62911627538642,3.773685007909377e-05,0.0,9.81346491702557,1.5707963267948966,3.773690777601365e-05,-5.882627458869664e-21,0.0,-7.292107787879948e-05,0.0,339.380719629888,1.1972980987305863,98503.81746098223,286.60546848222225,-134.53768117305358,4.806622110272229e-19,131.07003863601165,0.0,0.0,0.0,1.22201948164,102968.14504682449
0.9,6378403.44020088,688.9682486261521,1.655528639153016e-14,287.4698329112544,761.279758578408,1.813511495039352e-14,1.813511495039352e-14,296.12818611988797,-287.5520614638912,266.4774256259472,4.238674863696519e-05,0.0,9.813376004406898,1.5707963267948966,4.23868135459346e-05,-6.613840740825868e-21,0.0,-7.292107787879948e-05,0.0,339.26968894212,1.1939680997873303,98165.58999771322,286.41796934055554,-133.1150127311752,5.350481472689905e-19,129.24892639930488,0.0,0.0,0.0,1.21663922138,101713.00265633456
