time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.0,6378136.999951441,0.0,0.0,304.7999994885456,0.0,-304.7999994885456,0.0,0.0,0.0,9.81419749258176,0.0,-0.0,0.0,7.292107787869477e-05,0.0,0.0,304.7999994885456,340.29396,1.2250039125042,101324.9999991008,288.15,-146.79529200518934,-0.0,146.79529200518934,0.0,0.0,0.0,1.26670568319,113806.58718747753,431.0519199483247
0.1,6378167.38131816,-0.0002215600312456248,30.429874763730485,303.79803056436964,-0.0044272365707568005,-302.8241453330736,30.381423802913524,-3.47372557037217e-11,4.803096875768386e-06,9.814106957807281,-3.379399876055145e-25,4.770943273243146e-06,2.7378435644860662e-11,7.292107787869477e-05,0.0,0.0,302.8242910417992,340.176689090016,1.2215605620765488,100977.14105162355,287.9525545022222,-145.1895646265419,0.0021158365552611884,144.7228790638885,0.0,0.0,0.0,1.26095414752,112380.94934450029,428.9468356801425
0.2,6378197.565326881,-0.00088336138032984,60.7602293074416,302.80683895976165,-0.00880807422545208,-300.8625047898144,60.5656506411768,-1.3849702385108725e-10,9.590439639546833e-06,9.8140138985268,-6.620290322000488e-25,9.526238201836312e-06,1.2377938373182217e-10,7.292107787869477e-05,0.0,0.0,300.86264954847843,340.060179350976,1.2181395614327204,100631.539954736,287.7563905661111,-143.60936627677057,0.004177302773339756,142.68464462275793,0.0,0.0,0.0,1.25525106045,110978.74405382402,426.86053123596577
0.3,6378227.553714961,-0.001981127304413616,90.99214647833521,301.8264127698432,-0.01314640571984616,-298.9147173818664,90.55440796168801,-3.106078119250743e-10,1.4362199876329618e-05,9.813921443238,-9.922154416205743e-25,1.4266055217679503e-05,2.8853135174558544e-10,7.292107787869477e-05,0.0,0.0,298.91486120388004,339.94442411690403,1.2147407147906097,100288.17693053959,287.5614969644445,-142.05417520839333,0.006187292787738706,140.67988276192705,0.0,0.0,0.0,1.24959577636,109599.49025003787,424.79274884951286
0.4,6378257.3478540005,-0.00351063657949512,121.12669197849121,300.8565820000344,-0.01744278077317488,-296.9805562039176,120.34906969101601,-5.50406856925638e-10,1.911854645454095e-05,9.8138295876432,-1.3158602220481094e-24,1.89905620543719e-05,5.209715766862515e-10,7.292107787869477e-05,0.0,0.0,296.9806991020824,339.829418081232,1.2113638664285065,99947.03624701762,287.36786476833333,-140.52347298029125,0.008147060451717227,138.70789426855393,0.0,0.0,0.0,1.24398759201,108242.71089206674,422.743213542749
0.5,6378286.949146081,-0.0054677223092376,151.1649147198072,299.8971801722328,-0.021697737338266323,-295.05979907658,149.95098730535042,-8.572399380635935e-10,2.3859645582583627e-05,9.81373832756664,-1.6679627652976034e-24,2.3699923803465316e-05,8.204458377648211e-10,7.292107787869477e-05,0.0,0.0,295.05994106400243,339.71515602883204,1.2080088631758261,99608.10243118559,287.17548519499996,-139.01675471085937,0.010057824731141274,136.7679981403711,0.0,0.0,0.0,1.23842581944,106907.94138866056,420.7116562923289
0.6,6378316.358871361,-0.0078482707644888,181.10784717144,298.9480442315448,-0.02591180190320136,-293.1522284250792,179.36149029291363,-1.230461194290981e-09,2.858566086365983e-05,9.81364765886304,-2.0147917735071056e-24,2.839430296855873e-05,1.1863082739282958e-09,7.292107787869477e-05,0.0,0.0,293.152369514256,339.60163282992,1.204675554351264,99271.36025951516,286.9843496038889,-137.53352865498087,0.011920770840826265,134.85953101453393,0.0,0.0,0.0,1.23290978559,105594.729212958,418.6978138726911
0.7,6378345.578340481,-0.010648220252930161,210.9565056956952,298.00901445941764,-0.030085489786847764,-291.2576311597728,208.5818866099416,-1.6694329465464372e-09,3.3296753349073486e-05,9.813557577509041,-2.382902671366576e-24,3.307385951855175e-05,1.6179212061276757e-09,7.292107787869477e-05,0.0,0.0,291.257771362896,339.488843430912,1.2013637917164102,98936.79475745537,286.79444949444445,-136.0733157943457,0.013737051340214128,132.98184661959962,0.0,0.0,0.0,1.22743883191,104302.63352375383,416.7014287114991
0.8,6378374.6088336,-0.01386356001743208,240.7118908778208,297.079934385552,-0.034219305424701606,-289.3757985603264,237.61346312416802,-2.173525524538247e-09,3.799308159029344e-05,9.8134680794508,-2.7202006624160917e-24,3.773875093964451e-05,2.114654964066962e-09,7.292107787869477e-05,0.0,0.0,289.37593789019763,339.376782869664,1.1980734294190594,98604.39118985647,286.60577650444446,-134.63564944155897,0.015507787187735279,131.13431524396486,0.0,0.0,0.0,1.22201231399,103031.22480400279,414.7222487445687
0.9,6378403.4516613595,-0.0174903291625788,270.3749878445232,296.16065070560643,-0.038313742642567206,-287.5065261656808,266.4574860418488,-2.7421170979640264e-09,4.2674801689917046e-05,9.813379160817359,-2.9826199764457146e-24,4.23891322853379e-05,2.6758877174361555e-09,7.292107787869477e-05,0.0,0.0,287.5066646335776,339.265446257184,1.1948043239571338,98274.13505953366,286.41832240444444,-133.2200748620421,0.01723406875455832,129.3163232256548,0.0,0.0,0.0,1.21662960121,101780.08451368786,412.76002727902494
