time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
0.0,6378136.999999903,-2.7432000000000004e-16,0.0,304.8,-1.417233795702e-06,-304.79999999999956,-9.651482106192e-08,0.0,0.0,9.814197353250885,304.7999999999995,340.2941077830969,1.2249986927084657,101325.18321191061,288.1499999934994,-146.794712101976,1.9868597266252403e-05,146.79472936947985,0.0,0.0,0.0
0.1,6378167.380996231,-0.0002253389776789284,30.42984389914555,303.79679028184955,-0.004424949427769449,-302.8232895336311,30.381069322139023,-3.532973662637411e-11,4.803092004228068e-06,9.814103706127577,302.82328953363105,340.1774810988135,1.2214297808071244,100960.74359436819,287.9525224613745,-145.1730400937076,0.0021334247519168986,144.70646769520042,0.0,0.0,0.0
0.2,6378197.564888395,-0.0008908744284722583,60.76006536442816,302.8046433044098,-0.008805392824168382,-300.8607895440928,60.5651797759382,-1.3967495106987292e-10,9.590413763171423e-06,9.81401066744286,300.86078954409277,340.0615720026525,1.2178919226697216,100599.72190268035,287.75632704990113,-143.57831227351943,0.004193803570339876,142.65389208252634,0.0,0.0,0.0
0.3,6378227.553086737,-0.0019923279356459283,90.99175913090814,301.8233756581088,-0.013143314165120153,-298.9122577885829,90.55374016212507,-3.123638853000255e-10,1.436213873860482e-05,9.813918232828064,298.9122577885829,339.9463759646305,1.2143847922515367,100242.07896593824,287.5614048534333,-142.00993463772755,0.006202355207169227,140.6362106605821,0.0,0.0,0.0
0.4,6378257.346977549,-0.003525471397427802,121.12600182900283,300.852807967361,-0.017439267543559067,-296.9774573857068,120.34813542636913,-5.527326980998482e-10,1.91184375243134e-05,9.813826397988894,296.9774573857068,339.83188818555567,1.2109080585535652,99887.77522917501,287.3677465290323,-140.4673284749403,0.008160389893221123,138.65265232430443,0.0,0.0,0.0
0.5,6378286.94792374,-0.005486148440514805,151.16385238214838,299.8927647869865,-0.021693794750962943,-295.05615667528673,149.94972708849,-8.60128823079325e-10,2.3859477909102584e-05,9.813735158703565,295.05615667528673,339.718104126185,1.2074614016912035,99536.77238982859,287.17534319171057,-138.94993173565268,0.010069179368340774,136.70246791038258,0.0,0.0,0.0
0.6,6378316.357265247,-0.007870239218132683,181.10635239340027,298.9430744892966,-0.02590742561200022,-293.1481290701385,179.35985375909488,-1.2339054342363497e-09,2.8585424938055624e-05,9.813644510821339,293.1481290701385,339.6050193252034,1.204044507258789,99189.03281956045,286.98418610589164,-137.45719784200745,0.011929958200432259,134.78492883319248,0.0,0.0,0.0
0.7,6378345.576319596,-0.010673676225475345,210.95452652116742,298.00356915924857,-0.030080678309885263,-291.2531529170778,208.57983163010178,-1.6734239470135444e-09,3.3296440972066806e-05,9.813554450260979,291.2531529170778,339.4926293975692,1.20065706620895,98844.51954910764,286.7942666822517,-135.98859517743523,0.013743925062164836,132.89932640528826,0.0,0.0,0.0
0.8,6378374.606382368,-0.013892460148495935,240.70938284465907,297.07408449305495,-0.03421405969966236,-289.37101136249873,237.610954981157,-2.1780564809578332e-09,3.7992685745744455e-05,9.813464973009118,289.3710113624988,339.38093003283427,1.197298774732676,98503.19625328145,286.6055764744934,-134.54360659560234,0.015512243956536312,131.04497118371373,0.0,0.0,0.0
0.9,6378403.44872766,-0.017522630421702688,270.3719132193776,296.15445970010967,-0.038308065612136885,-287.50149222236695,266.45449662587646,-2.7471812590325344e-09,4.267431642373799e-05,9.813376075118965,287.50149222236695,339.2699169935227,1.1939693341437707,98165.02723649463,286.4181071762611,-133.1217289482864,0.017236045394659345,129.2211923414541,0.0,0.0,0.0
