column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,-8.90603e-05,2.72603e-05,0.000130748,-1.39458e-09,4.26669e-10,2.04701e-09
gePosition_m_Y,-6.22453e-08,7.02328e-08,2.46625e-07,-5.35492e-06,1.67081e-05,0.000282695
gePosition_m_Z,-1.89755e-10,1.26919e-10,4.13692e-10,,,
feVelocity_m_s_X,-1.4397e-11,2.35808e-12,1.61265e-11,,,
feVelocity_m_s_Y,1.53207e-08,7.47599e-09,2.37048e-08,0.00182415,0.0200015,0.334452
feVelocity_m_s_Z,-2.74017e-06,1.58816e-06,5.48392e-06,-1.87252e-06,4.99153e-10,1.87365e-06
altitudeMsl_m,-0.000134539,2.57489e-05,0.000162532,-1.74928e-06,1.03719e-07,1.77762e-06
longitude_rad,-9.74725e-15,1.10003e-14,3.86349e-14,-4.19101e-06,2.35651e-06,3.56501e-05
latitude_rad,-2.99192e-17,2.00161e-17,6.52491e-17,,,
localGravity_m_s2,-1.84171e-07,2.27927e-10,1.84686e-07,-1.8811e-06,1.56212e-09,1.88463e-06
eulerAngle_rad_Yaw,0.00394475,0.00146625,0.00498767,0.101712,0.0287047,0.121405
eulerAngle_rad_Pitch,0.000204185,0.000548197,0.00145395,0.392769,4.08351,70.1266
eulerAngle_rad_Roll,0.000694092,0.000386127,0.00137544,1.28937,8.21335,139.313
bodyAngularRateWrtEi_rad_s_Roll,-8.13894e-05,0.000155654,0.000536503,2.38945,225.542,1709.65
bodyAngularRateWrtEi_rad_s_Pitch,0.000171507,0.00036617,0.00129774,-8.48488,123.602,1186.77
bodyAngularRateWrtEi_rad_s_Yaw,9.15831e-05,0.00010144,0.000280143,0.407556,0.347255,1.18077
altitudeRateWrtMsl_m_s,2.74017e-06,1.58816e-06,5.48392e-06,1.87252e-06,4.99153e-10,1.87365e-06
speedOfSound_m_s,-0.00224344,0.00245631,0.00843942,-0.00072726,0.000789592,0.00273915
airDensity_kg_m3,-0.000422318,0.000224073,0.000807602,-0.076197,0.0384364,0.134942
ambientPressure_Pa,-45.8255,25.5978,93.2649,-0.119853,0.0624331,0.214798
ambientTemperature_K,-0.000191692,0.000261488,0.000764725,-7.79524e-05,0.000104581,0.000302549
aero_bodyForce_N_X,0,0,0,,,
aero_bodyForce_N_Y,0,0,0,,,
aero_bodyForce_N_Z,0,0,0,,,
aero_bodyMoment_Nm_L,9.79862e-08,1.8526e-07,6.51415e-07,2.34747,5.42033,46.8806
aero_bodyMoment_Nm_M,2.29825e-07,1.43343e-06,5.24091e-06,1.81179,20.6329,256.966
aero_bodyMoment_Nm_N,-1.01355e-07,1.30533e-07,3.71627e-07,-0.335848,0.346506,1.13011
mach,3.0496e-06,5.11021e-06,2.22633e-05,0.000674805,0.000791568,0.00273687
dynamicPressure_Pa,-7.0178,7.81813,28.8807,-0.076328,0.0384406,0.134962
trueAirspeed_m_s,0.000107831,9.09095e-05,0.000247889,3.31551e-05,9.40823e-05,0.000269429
