column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.57557,0.800966,1.6355,0.134839,0.382864
feVelocity_m_s_Y,-1.17453,0.393595,1.71941,-0.270335,0.396676
feVelocity_m_s_Z,-0.397658,0.962171,1.81415,-68.3631,66802.1
altitudeMsl_m,59.546,27.0824,97.4628,0.64407,1.04954
longitude_rad,-3.16749e-05,2.02424e-05,6.53428e-05,-0.00241936,0.00501145
latitude_rad,2.37881e-05,1.74494e-05,6.05554e-05,0.00372782,0.00943151
localGravity_m_s2,-0.000658525,0.000282614,0.00114053,-0.00672459,0.011646
eulerAngle_rad_Yaw,-0.0019965,0.0009754,0.00327129,-0.251301,0.41052
eulerAngle_rad_Pitch,0.000719333,0.00158184,0.00305494,8.42785,34.3868
eulerAngle_rad_Roll,0.000654301,0.000426322,0.00140896,8.51904,14.4322
bodyAngularRateWrtEi_rad_s_Roll,6.85844e-06,3.70823e-05,0.00056959,551.232,132142
bodyAngularRateWrtEi_rad_s_Pitch,1.0207e-05,6.52424e-05,0.000179248,2279.33,778889
bodyAngularRateWrtEi_rad_s_Yaw,-1.59804e-05,1.87686e-05,0.000263506,-304.468,93095.9
altitudeRateWrtMsl_m_s,0.397658,0.962171,1.81415,68.3631,66802.1
speedOfSound_m_s,-0.255773,0.116646,0.419243,-0.0844711,0.138539
airDensity_kg_m3,-0.00325296,0.00147056,0.00529838,-0.717367,1.17423
ambientPressure_Pa,-262.743,118.586,427.338,-0.884761,1.44784
ambientTemperature_K,-0.385627,0.175517,0.631354,-0.16903,0.277059
aero_bodyForce_N_X,299.717,247.433,693.344,0.549866,1.27767
aero_bodyForce_N_Y,57.2384,6.91539,153.103,102.053,245.272
aero_bodyForce_N_Z,-50.5475,366.913,830.317,-0.0541277,0.916362
aero_bodyMoment_Nm_L,0.00316805,3.98617,74.3333,-6.16783e+07,1.23481e+11
aero_bodyMoment_Nm_M,17.4572,126.663,294.219,0.0541806,0.941094
aero_bodyMoment_Nm_N,19.3516,11.2085,196.722,99.4625,997.979
mach,0.000281137,0.00202035,0.00279767,0.0138653,0.138775
trueAirspeed_m_s,-0.429927,0.662513,1.41458,-0.0706158,0.232305
