column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0341698,0.168769,0.993882,0.034567,0.834232
feVelocity_m_s_Y,-0.0270765,0.160599,0.954349,-0.0201112,0.764148
feVelocity_m_s_Z,-0.00462636,0.0969368,0.584232,-1991.53,590348
altitudeMsl_m,0.0772221,0.0827592,0.202809,0.00253011,0.00664836
longitude_rad,-4.27044e-07,2.94062e-07,9.72697e-07,-3.23457e-05,7.3689e-05
latitude_rad,1.0124e-06,5.33509e-07,1.88846e-06,0.000160952,0.000300151
localGravity_m_s2,-7.23696e-05,9.56281e-06,8.76428e-05,-0.000737625,0.000893296
eulerAngle_rad_Yaw,-0.000195019,0.00803013,0.0528421,-0.0126207,5.91258
eulerAngle_rad_Pitch,-0.000104392,0.000843643,0.00559838,-0.21446,12.413
eulerAngle_rad_Roll,0.00247729,0.0276473,0.248051,31.1511,94.2577
bodyAngularRateWrtEi_rad_s_Roll,-0.000130972,0.252082,2.71469,116.108,19872.1
bodyAngularRateWrtEi_rad_s_Pitch,-0.000169761,0.0161938,0.11676,1.60919,1605.65
bodyAngularRateWrtEi_rad_s_Yaw,5.30379e-05,0.029718,0.205344,-27.9284,1850.84
altitudeRateWrtMsl_m_s,0.00462636,0.0969368,0.584232,1985.8,588627
speedOfSound_m_s,1.81065e-07,0.000328845,0.000990895,5.44909e-08,0.000301749
airDensity_kg_m3,-9.86757e-06,7.68513e-06,2.15491e-05,-0.00109106,0.00238233
ambientPressure_Pa,-0.761791,0.733335,1.87489,-0.00109361,0.00269101
ambientTemperature_K,-0.000466706,0.000537406,0.00128225,-0.000173936,0.00047786
aero_bodyForce_N_X,-20.5165,555.873,4925.93,-0.857483,80.6514
aero_bodyForce_N_Y,-187.987,7421.15,60665.4,-276.862,86857.2
aero_bodyForce_N_Z,-113.347,7439.77,52400.1,-0.91855,157.289
aero_bodyMoment_Nm_L,-555.373,40442.1,415911,2.72881e+07,8.2137e+09
aero_bodyMoment_Nm_M,51.0442,6473.04,59989.6,1.08353,154.398
aero_bodyMoment_Nm_N,562.877,19661.1,196091,-135.779,9371.35
mach,-3.3747e-06,2.43178e-05,0.000187895,-0.000642591,0.0358042
trueAirspeed_m_s,-0.00110773,0.00793123,0.0618411,-0.000642312,0.0358858
