column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.456363,0.257841,0.741986,0.372732,0.608505
feVelocity_m_s_Y,-0.972109,0.27617,1.31304,-0.800607,1.08073
feVelocity_m_s_Z,-0.0687493,0.229114,0.507278,1797.61,1.44426e+06
altitudeMsl_m,9.24723,3.44779,13.7713,0.302029,0.44896
longitude_rad,-1.95652e-05,1.33713e-05,4.30739e-05,-0.00148506,0.00327296
latitude_rad,1.18946e-05,8.41978e-06,2.67663e-05,0.00188401,0.00423192
localGravity_m_s2,-0.000203265,7.54069e-05,0.0003378,-0.00207175,0.00344293
eulerAngle_rad_Yaw,-0.00591697,0.00194347,0.00764253,-0.757363,0.977773
eulerAngle_rad_Pitch,0.000591143,0.00133413,0.00314493,1.24681,6.64363
eulerAngle_rad_Roll,0.0021277,0.000952905,0.0034724,35.1839,47.2932
bodyAngularRateWrtEi_rad_s_Roll,1.89279e-05,5.87863e-05,0.000757133,355.406,313026
bodyAngularRateWrtEi_rad_s_Pitch,-2.99822e-07,0.000110141,0.000307286,1043.45,333171
bodyAngularRateWrtEi_rad_s_Yaw,-2.7374e-05,5.94065e-05,0.000433336,-453.367,80132.8
altitudeRateWrtMsl_m_s,0.0687493,0.229114,0.507278,-1799.02,1.44707e+06
speedOfSound_m_s,-0.0364441,0.0137034,0.0544289,-0.0110996,0.0165782
airDensity_kg_m3,-0.000863071,0.000320633,0.00128346,-0.0955253,0.142137
ambientPressure_Pa,-81.8868,30.4836,121.819,-0.117699,0.175221
ambientTemperature_K,-0.0600141,0.0223889,0.0893918,-0.0223717,0.0333276
aero_bodyForce_N_X,27.3547,15.8379,55.9641,0.434097,0.888893
aero_bodyForce_N_Y,-31.4324,3.82912,71.2188,-94.4929,235.522
aero_bodyForce_N_Z,-5.94901,176.51,464.519,-0.00644943,0.511307
aero_bodyMoment_Nm_L,0.0071617,2.76718,53.3428,2.5259e+06,5.05702e+09
aero_bodyMoment_Nm_M,-31310.1,19.0082,31354.4,-100,100.021
aero_bodyMoment_Nm_N,-11.4614,6.52185,111.023,-101.04,997.341
mach,-0.00102929,0.000486586,0.00196507,-0.196075,0.374568
trueAirspeed_m_s,-0.357049,0.165772,0.671923,-0.207149,0.39006
