column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0854389,0.118465,0.394472,0.0701102,0.324192
feVelocity_m_s_Y,0.00988652,0.118801,0.329283,0.00815472,0.270342
feVelocity_m_s_Z,-0.0121737,4.88265,9.57988,-24712.9,115667
altitudeMsl_m,7.70851,11.383,31.9488,0.252305,1.0468
longitude_rad,-1.55568e-07,1.32675e-07,4.39887e-07,-1.17817e-05,3.33173e-05
latitude_rad,8.1508e-07,4.63684e-07,1.56043e-06,0.000129603,0.000248067
localGravity_m_s2,-9.05664e-05,3.12823e-05,0.000159577,-0.000923102,0.00162648
eulerAngle_rad_Yaw,-0.000270926,9.04528e-05,0.00038746,-0.0344747,0.0492975
eulerAngle_rad_Pitch,-0.000121115,0.0362341,0.0951492,12.7801,194.243
eulerAngle_rad_Roll,0.00212959,0.000787473,0.00316898,55.9059,86.7048
bodyAngularRateWrtEi_rad_s_Roll,0.000244719,0.00255727,0.033305,29.4396,2511.77
bodyAngularRateWrtEi_rad_s_Pitch,9.8157e-05,0.0648471,0.551919,1136.1,743826
bodyAngularRateWrtEi_rad_s_Yaw,-1.3468e-05,9.18438e-05,0.000421276,-74.6459,1837.55
altitudeRateWrtMsl_m_s,0.0121737,4.88265,9.57988,24712.9,115667
speedOfSound_m_s,-0.0303289,0.0452401,0.126669,-0.00923635,0.0385742
airDensity_kg_m3,-0.000719889,0.00105898,0.00297489,-0.0796253,0.328936
ambientPressure_Pa,-68.2698,100.69,282.696,-0.0980461,0.405829
ambientTemperature_K,-0.0500218,0.073918,0.207432,-0.018644,0.0773074
aero_bodyForce_N_X,-49.0151,2978.97,19340.8,-7.20443,354.102
aero_bodyForce_N_Y,-13.4163,22.996,207.811,-443.303,72972
aero_bodyForce_N_Z,6.56516,32291.4,220456,-3.91381,209.75
aero_bodyMoment_Nm_L,16.8075,436.21,5621.05,4.08642e+07,8.2137e+09
aero_bodyMoment_Nm_M,-31166.9,43955.3,392184,-97.1818,1251.57
aero_bodyMoment_Nm_N,-6.04715,22.9082,133.073,-108.26,2304.63
mach,0.000255271,0.000380961,0.00174865,0.0486043,0.333494
trueAirspeed_m_s,0.0678687,0.10342,0.507576,0.0393544,0.294791
