time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.00000000000000000e+00,1.27975097969655227e+06,-5.01132167006370611e+06,3.73529182979875896e+06,4.31048170058400160e+02,4.31048170058399933e+02,2.84217094304040074e-14,9.14796239999961108e+03,-1.32076813760289768e+00,6.28653110335565923e-01,9.79233863376700775e+00,7.85398163397448168e-01,-1.27915687066524307e-02,-3.00196631343049554e-03,4.11533112324237549e-05,-4.15747245122580615e-05,-4.35366670021904026e-05,-2.84217094304040074e-14,3.03213131200728640e+02,4.58821287208398265e-01,3.01308604379569006e+04,2.28773692288189437e+02,-5.54269320261155444e+04,-1.05662575851066308e+02,-9.14404849863922864e+04,-7.43332771038037947e+01,7.72306708121323027e+00,1.77010292753885807e+02,2.01044778541975200e+00,8.52501536460957432e+04,6.09594168132693653e+02
5.00000000000000028e-02,1.27976872604863928e+06,-5.01130405755843595e+06,3.73530926187990466e+06,4.31046152484260574e+02,4.31049088175993973e+02,-8.46008551502563932e-03,9.14796264409925789e+03,-1.32076397057642936e+00,6.28656495526163872e-01,9.79233869099735976e+00,7.85403056062634386e-01,-1.27865665136213478e-02,-3.00832055307937189e-03,-1.99177839446763112e-04,-3.11673578460497299e-05,5.29882503509144256e-05,8.46008551502563932e-03,3.03213130152289182e+02,4.58821273704527743e-01,3.01308593427849592e+04,2.28773690706098535e+02,-5.54264989899235661e+04,-9.96334393827849851e+01,-9.13595581282943458e+04,-5.40726148609515178e+01,2.30597318165455363e+01,1.62790329159690202e+02,2.01044522859411012e+00,8.52499337105930754e+04,6.09593390761754677e+02
1.00000000000000006e-01,1.27978647245162260e+06,-5.01128644528559782e+06,3.73532669407809945e+06,4.31044088852243362e+02,4.31050044137136240e+02,-1.65236847764163031e-02,9.14796329496428370e+03,-1.32075980353112454e+00,6.28659880701261997e-01,9.79233874697895956e+00,7.85412503874332035e-01,-1.27808008561873659e-02,-3.02472645424857640e-03,-3.57380010423463494e-04,-1.20678184319418858e-05,1.36989818324910316e-04,1.65236847764163031e-02,3.03213127356739960e+02,4.58821237697935813e-01,3.01308564226289382e+04,2.28773686487626151e+02,-5.54260908816523151e+04,-8.22259202065573902e+01,-9.12933354558739229e+04,-3.16757990379435874e+01,3.40297262003441574e+01,1.30403201234722076e+02,2.01044266457241338e+00,8.52497080016505060e+04,6.09592607696418781e+02
1.50000000000000022e-01,1.27980421890280372e+06,-5.01126883322989754e+06,3.73534412638195092e+06,4.31041943745948743e+02,4.31051073991305202e+02,-2.42748080453623061e-02,9.14796433336939663e+03,-1.32075563646675764e+00,6.28663265860842646e-01,9.79233880177081772e+00,7.85425636470095334e-01,-1.27739115734699493e-02,-3.04694620649236100e-03,-4.29893162281902203e-04,1.28558467673630160e-05,1.99184388046200379e-04,2.42748080453623061e-02,3.03213122896656046e+02,4.58821180252190042e-01,3.01308517637449149e+04,2.28773679757377721e+02,-5.54257196035753368e+04,-5.60493442297300248e+01,-9.12433599477689859e+04,-9.13243879012093984e+00,4.07357674557351856e+01,8.45201015236423814e+01,2.01044009424641423e+00,8.52494768389817764e+04,6.09591819373102794e+02
2.00000000000000011e-01,1.27982196540293167e+06,-5.01125122138109058e+06,3.73536155878112046e+06,4.31039692007697909e+02,4.31052203330655402e+02,-3.18020129994636136e-02,9.14796574535407126e+03,-1.32075146938269872e+00,6.28666651004491817e-01,9.79233885541576754e+00,7.85441192716170411e-01,-1.27656798656434305e-02,-3.07075078736642826e-03,-4.20884822332026750e-04,4.08938817145556522e-05,2.33347111157353084e-04,3.18020129994636136e-02,3.03213116831999628e+02,4.58821102139609138e-01,3.01308454287685272e+04,2.28773670605836088e+02,-5.54253921845876757e+04,-2.46434692831260342e+01,-9.12098302582272881e+04,1.14578709495235440e+01,4.35382992126906174e+01,3.12223132381923349e+01,2.01043751821333494e+00,8.52492404504904116e+04,6.09591026093455298e+02
2.50000000000000000e-01,1.27983971195569122e+06,-5.01123360973396897e+06,3.73537899126669206e+06,4.31037321457752910e+02,4.31053444580967152e+02,-3.91917876830234491e-02,9.14796752233244479e+03,-1.32074730227800896e+00,6.28670036131457888e-01,9.79233890794017015e+00,7.85457690367014405e-01,-1.27560161163089610e-02,-3.09230728632383343e-03,-3.43831315575521994e-04,6.96407842087605960e-05,2.37574038706257789e-04,3.91917876830234491e-02,3.03213109199647931e+02,4.58821003835181096e-01,3.01308374562217796e+04,2.28773659088649083e+02,-5.54251112386996538e+04,8.01306803931458589e+00,-9.11918399900616641e+04,2.83233420675946732e+01,4.29837836350598081e+01,-2.28645188991759127e+01,2.01043493680009533e+00,8.52489989729300141e+04,6.09590228030754588e+02
2.99999999999999989e-01,1.27985745856686169e+06,-5.01121599828779045e+06,3.73539642383143585e+06,4.31034833658631214e+02,4.31054796259228794e+02,-4.65233080423956835e-02,9.14796966062765568e+03,-1.32074313515157060e+00,6.28673421240756092e-01,9.79233895935528764e+00,7.85473646187864194e-01,-1.27449413745296235e-02,-3.10860574507069260e-03,-2.12412795471543357e-04,9.70939464849945329e-05,2.11675614285704371e-04,4.65233080423956835e-02,3.03213100015393536e+02,4.58820885542323365e-01,3.01308278626022038e+04,2.28773645229647656e+02,-5.54248756237176858e+04,3.80243343487486456e+01,-9.11876431314624933e+04,3.97581052094725109e+01,3.97345422100333963e+01,-7.13135314795069206e+01,2.01043235009738153e+00,8.52487524607054947e+04,6.09589425244260042e+02
3.49999999999999978e-01,1.27987520524342963e+06,-5.01119838704570290e+06,3.73541385647015087e+06,4.31032243477527459e+02,4.31056243440758749e+02,-5.38646491614542811e-02,9.14797216104622930e+03,-1.32073896800222590e+00,6.28676806331283755e-01,9.79233900965862958e+00,7.85487656749629615e-01,-1.27325653861330729e-02,-3.11746008405387959e-03,-5.09532763603590068e-05,1.21707970334200934e-04,1.60965641181285259e-04,5.38646491614542811e-02,3.03213089275772063e+02,4.58820747216430180e-01,3.01308166442925321e+04,2.28773629023604457e+02,-5.54246812159911860e+04,6.18868636481239491e+01,-9.11949236506192537e+04,4.50352421049629328e+01,3.45043032791254518e+01,-1.08579529754233931e+02,2.01042975801211599e+00,8.52485008957265090e+04,6.09588617698796611e+02
3.99999999999999967e-01,1.27989295199250779e+06,-5.01118077601355780e+06,3.73543128917970927e+06,4.31029576692006970e+02,4.31057760186426549e+02,-6.12704263161276685e-02,9.14797502775583416e+03,-1.32073480082892303e+00,6.28680191401956634e-01,9.79233905883737599e+00,7.85498657136904921e-01,-1.27190623290190635e-02,-3.11794416808796205e-03,1.16933995106536587e-04,1.42409421646214252e-04,9.28267168625262850e-05,6.12704263161276685e-02,3.03213076962882838e+02,4.58820588626955295e-01,3.01308037825956890e+04,2.28773610443507465e+02,-5.54245217346188510e+04,7.70763964192998259e+01,-9.12110513010509167e+04,4.40377071782704377e+01,2.80025052353739738e+01,-1.30813433744356274e+02,2.01042716030797486e+00,8.52482442050901445e+04,6.09587805286731964e+02
4.49999999999999956e-01,1.27991069882040680e+06,-5.01116316519888118e+06,3.73544872195913875e+06,4.31026866335089267e+02,4.31059313230327746e+02,-6.87807518754937064e-02,9.14797826734650880e+03,-1.32073063363084020e+00,6.28683576451832815e-01,9.79233910687128706e+00,7.85505998892489177e-01,-1.27046472191130327e-02,-3.11030100422124032e-03,2.68751243804539290e-04,1.58578819197966771e-04,1.63393382585311914e-05,6.87807518754937064e-02,3.03213063048420452e+02,4.58820409409347485e-01,3.01307892479467519e+04,2.28773589446644451e+02,-5.54243895493996606e+04,8.22338082486168531e+01,-9.12333102407625120e+04,3.73576325715504538e+01,2.08891474535739690e+01,-1.36156303321864982e+02,2.01042455665130104e+00,8.52479822768917365e+04,6.09586987850003652e+02
