time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.00000000000000000e+00,1.27853100286666933e+06,-5.00654441540904157e+06,3.73170704103245260e+06,1.21920000000000002e+02,1.21920000000000059e+02,-1.42108547152020037e-14,3.05196240000054240e+03,-1.32076813760289768e+00,6.28653110335566034e-01,9.81107779915437028e+00,7.85398163397448279e-01,4.63251566199827103e-02,-3.00196631343014773e-03,4.36462820714007710e-05,-4.15822512331435242e-05,-4.10294109274062549e-05,1.42108547152020037e-14,3.28377139108216170e+02,9.04403983298683545e-01,6.96594851895795873e+04,2.68321764182567222e+02,-6.31835137764229876e+03,5.94480799489457112e+01,-9.13138176074518269e+04,5.33428095639911461e+01,4.54549551686068298e+00,-9.98910861473463001e+01,5.25069796249448273e-01,1.34435007098491169e+04,1.72420917524527795e+02
2.00000000000000004e-02,1.27853300947618554e+06,-5.00654242006346676e+06,3.73170901099486928e+06,1.21881384714180058e+02,1.21878903041630764e+02,9.97527260123547421e-02,3.05195873333327472e+03,-1.32076766579639138e+00,6.28653493677263087e-01,9.81107781700984916e+00,7.85434240590497934e-01,4.68550811230662723e-02,-6.19696883343420096e-04,2.35692754982051528e-01,5.26178449205049192e-02,3.57316502239328005e-03,-9.97527260123547421e-02,3.28377153678061688e+02,9.04404324856258435e-01,6.96595176786889060e+04,2.68321787993035571e+02,-2.20326738794723569e+04,-9.06552107872668898e+02,-4.94670372357490851e+04,1.46845596454066428e+05,1.96153220089945011e+05,1.65886994032132861e+02,5.24898213531125202e-01,1.34347222560254195e+04,1.72364581330050356e+02
4.00000000000000008e-02,1.27853501719701616e+06,-5.00654043092263676e+06,3.73171098410268780e+06,1.21859874709442551e+02,1.21860656923583051e+02,8.99312363934825498e-02,3.05196200308389962e+03,-1.32076719407835430e+00,6.28653876837591774e-01,9.81107781350901220e+00,7.85460831307645546e-01,4.79376653362638822e-02,1.19924713611766431e-03,-5.09357518115736985e-02,5.54720165354260358e-02,-9.30630968290881069e-04,-8.99312363934825498e-02,3.28377140685401685e+02,9.04404020272278064e-01,6.96594887065243092e+04,2.68321766760049854e+02,-6.68613282954150236e+03,1.05879007268414284e+03,-9.67771249893471540e+04,-1.78675994764636678e+05,1.04342194561292417e+04,1.42843647120936428e+01,5.24812609482888548e-01,1.34303349717964666e+04,1.72336464097635258e+02
5.99999999999999978e-02,1.27853702357171150e+06,-5.00653843827234488e+06,3.73171295433243038e+06,1.21840538330327263e+02,1.21842344477357187e+02,4.32133563536254428e-02,3.05196056256722659e+03,-1.32076672244441928e+00,6.28654259976998864e-01,9.81107782450800769e+00,7.85440086117241254e-01,4.88672399432224652e-02,-5.72674066094123921e-05,-7.42863510655342868e-02,3.74204749878077475e-02,-1.29444232167364500e-03,-4.32133563536254428e-02,3.28377146409429486e+02,9.04404154459352405e-01,6.96595014704586210e+04,2.68321776114423756e+02,-5.00720478204339543e+03,1.47030297829727544e+02,-1.12403701874174149e+05,-1.45443451660099436e+04,-6.74553691417583032e+04,-2.04819347884314709e+02,5.24731474768964645e-01,1.34261851606657219e+04,1.72309824315844168e+02
8.00000000000000017e-02,1.27853902930257702e+06,-5.00653644474996254e+06,3.73171492354799574e+06,1.21822152377261204e+02,1.21823311948834899e+02,6.59060925258359021e-04,3.05195771524123847e+03,-1.32076625088918664e+00,6.28654643080183151e-01,9.81107783983713411e+00,7.85431990175675776e-01,4.94476142467772661e-02,-4.51349181893773784e-04,3.39098487960374506e-02,2.05539500213919486e-02,3.59645555029254778e-04,-6.59060925258359021e-04,3.28377157723545565e+02,9.04404419693636719e-01,6.96595266996632563e+04,2.68321794604283980e+02,-4.91160342079982274e+03,-3.64163888448688169e+02,-1.10319610523400203e+05,6.74437841533041501e+04,-6.29668338346168894e+04,-1.26426527772155154e+02,5.24650865571415381e-01,1.34220652802109580e+04,1.72283360033539367e+02
1.00000000000000006e-01,1.27854103540674294e+06,-5.00653445401820913e+06,3.73171689417695953e+06,1.21804228686371701e+02,1.21806043796902159e+02,-2.96002347159500800e-02,3.05195796257443726e+03,-1.32076577939732465e+00,6.28655026104469106e-01,9.81107784563824126e+00,7.85437671982147978e-01,4.97505660920396289e-02,7.10696196203560614e-05,1.85462542285199303e-02,9.65342889775456028e-03,1.07963170448678375e-04,2.96002347159500800e-02,3.28377156740743999e+02,9.04404396654037268e-01,6.96595245081261237e+04,2.68321792998160845e+02,-4.43684228378190073e+03,6.87242690287135503e+01,-1.04789926165054610e+05,-9.58044029451649112e+03,-4.06749929409210745e+04,-2.69722647879344173e+01,5.24575094983240842e-01,1.34181882825763514e+04,1.72258478187602350e+02
1.20000000000000009e-01,1.27854304143572855e+06,-5.00653246439287718e+06,3.73171886508739227e+06,1.21785328492086748e+02,1.21788125936990596e+02,-4.98818749347265111e-02,3.05195922931004316e+03,-1.32076530797227987e+00,6.28655409067047199e-01,9.81107784830014573e+00,7.85435107091911888e-01,4.98841212043785176e-02,7.30400494248146425e-05,-1.78784113692585026e-02,3.59329159405260157e-03,-4.68190601868128308e-04,4.98818749347265111e-02,3.28377151707251642e+02,9.04404278654999616e-01,6.96595132840043225e+04,2.68321784772279955e+02,-5.17867367818065850e+03,1.53882475547640496e+02,-1.00393738881798869e+05,-2.27039919439498117e+04,-2.26021607588585175e+04,-5.32964716767953419e+01,5.24495835605881311e-01,1.34141316515183771e+04,1.72232448578574207e+02
1.40000000000000013e-01,1.27854504704930820e+06,-5.00653047468176670e+06,3.73172083546442399e+06,1.21766210726576830e+02,1.21769377177295397e+02,-6.37525933987816984e-02,3.05196003388240933e+03,-1.32076483662075916e+00,6.28655791978876333e-01,9.81107785238392260e+00,7.85428860054950162e-01,4.99277587522743080e-02,-1.45099656720068532e-04,-3.95666161165548341e-03,6.47763773554813505e-04,-2.66692678598596275e-04,6.37525933987816984e-02,3.28377148510208087e+02,9.04404203707427912e-01,6.96595061549576203e+04,2.68321779547577648e+02,-5.65890342338616574e+03,-3.20369042238900334e+01,-9.75818101252481720e+04,8.67889771593276055e+03,-1.09767613846089880e+04,-6.06663568822354407e+01,5.24414315258810992e-01,1.34099607905896246e+04,1.72205677482621667e+02
1.60000000000000003e-01,1.27854705242389860e+06,-5.00652848556076922e+06,3.73172280573360156e+06,1.21746811610622331e+02,1.21750334862559725e+02,-7.39854100150125760e-02,3.05196119151357561e+03,-1.32076436534204822e+00,6.28656174829488323e-01,9.81107785537978216e+00,7.85426176973549328e-01,4.99299742698076782e-02,-1.19746818724511108e-04,6.48752888136061752e-03,-5.56821093625950404e-04,-1.11585420711279653e-04,7.39854100150125760e-02,3.28377143910252300e+02,9.04404095871711111e-01,6.96594958975760237e+04,2.68321772030195177e+02,-5.92901856943187613e+03,-2.91455477303173183e+01,-9.59907443728082872e+04,6.50913156799647550e+03,-4.48028204318874123e+03,-2.46853080192396774e+01,5.24331557715463026e-01,1.34057267130337750e+04,1.72178499384617368e+02
1.79999999999999993e-01,1.27854905759842414e+06,-5.00652649717911240e+06,3.73172477598044928e+06,1.21727182813550669e+02,1.21731268666357266e+02,-8.24356246141491056e-02,3.05196287723258138e+03,-1.32076389413599449e+00,6.28656557615500433e-01,9.81107785674886124e+00,7.85423848058134921e-01,4.99161367744156148e-02,-6.65338331740372035e-05,-9.90556394959685692e-04,-9.61238073771898856e-04,-2.29249532498108975e-04,8.24356246141491056e-02,3.28377137211889988e+02,9.04403938843547639e-01,6.96594809609873773e+04,2.68321761083535421e+02,-6.05438151184367689e+03,3.22159052635316812e+01,-9.52103332871984603e+04,-4.66240487746114377e+03,-1.49517846477523562e+03,-6.56302150982797183e+00,5.24248256751143837e-01,1.34014646212543539e+04,1.72151141740264507e+02
